"","Species","Phylum","Class"
"62","Lophius vomerinus","Chordata","Teleostei"
"63","Helicolenus dactylopterus","Chordata","Teleostei"
"64","Chrysoblephus gibbiceps","Chordata","Teleostei"
"65","Calanoides acutus","Arthropoda","Copepoda"
"66","Calanus simillimus","Arthropoda","Copepoda"
"67","Sympterygia bonapartii","Chordata","Elasmobranchii"
"68","Holohalaelurus regani","Chordata","Elasmobranchii"
"69","Pleuromamma","Arthropoda","Copepoda"
"70","Spondyliosoma emarginatum","Chordata","Teleostei"
"71","Squalus acanthias","Chordata","Elasmobranchii"
"72","Physeter macrocephalus","Chordata","Mammalia"
"73","Trachurus capensis","Chordata","Teleostei"
"74","Coelorinchus simorhynchus","Chordata","Teleostei"
"75","Rhincalanus","Arthropoda","Copepoda"
"76","Patagonotothen","Chordata","Teleostei"
"77","Ctenocalanus citer","Arthropoda","Copepoda"
"78","Centropages","Arthropoda","Copepoda"
"79","Calanoides","Arthropoda","Copepoda"
"80","Genypterus capensis","Chordata","Teleostei"
"81","Porifera","Porifera",NA
"82","Calanoida","Arthropoda","Copepoda"
"83","Schroederichthys bivius","Chordata","Elasmobranchii"
"84","Stegastes rocasensis","Chordata","Teleostei"
"85","Congiopodus peruvianus","Chordata","Teleostei"
"86","Callorhinchus callorynchus","Chordata","Holocephali"
"87","Raja straeleni","Chordata","Elasmobranchii"
"88","Electrona antarctica","Chordata","Teleostei"
"89","Gymnoscopelus braueri","Chordata","Teleostei"
"90","Eubalaena australis","Chordata","Mammalia"
"91","Oncaea","Arthropoda","Copepoda"
"92","Melichthys niger","Chordata","Teleostei"
"93","Balaenoptera physalus","Chordata","Mammalia"
"94","Chelidonichthys capensis","Chordata","Teleostei"
"95","Danielethus patagonicus","Arthropoda","Malacostraca"
"96","Zeus capensis","Chordata","Teleostei"
"97","Paracallionymus costatus","Chordata","Teleostei"
"98","Trichiurus lepturus","Chordata","Teleostei"
"99","Holocentrus adscensionis","Chordata","Teleostei"
"100","Abudefduf saxatilis","Chordata","Teleostei"
"101","Rhabdosargus globiceps","Chordata","Teleostei"
"102","Dipturus","Chordata","Elasmobranchii"
"103","Copepoda","Arthropoda","Copepoda"
"104","Larus dominicanus","Chordata","Aves"
"105","Acanthurus chirurgus","Chordata","Teleostei"
"106","Krefftichthys anderssoni","Chordata","Teleostei"
"107","Dermochelys coriacea","Chordata",NA
"108","Fiona","Mollusca","Gastropoda"
"109","Lepidopus caudatus","Chordata","Teleostei"
"110","Clausocalanus","Arthropoda","Copepoda"
"111","Thalassoica antarctica","Chordata","Aves"
"112","Petrus rupestris","Chordata","Teleostei"
"113","Oncaea curvata","Arthropoda","Copepoda"
"114","Ostracoda","Arthropoda","Ostracoda"
"115","Callorhinchus capensis","Chordata","Holocephali"
"116","Malacocephalus laevis","Chordata","Teleostei"
"117","Peisos petrunkevitchi","Arthropoda","Malacostraca"
"118","Cynoglossus zanzibarensis","Chordata","Teleostei"
"119","Chaetognatha","Chaetognatha",NA
"120","Chthamalus bisinuatus","Arthropoda","Thecostraca"
"121","Stegastes fuscus","Chordata","Teleostei"
"122","Chromis multilineata","Chordata","Teleostei"
"123","Balaenoptera musculus","Chordata","Mammalia"
"124","Protomyctophum bolini","Chordata","Teleostei"
"125","Chelonia mydas","Chordata",NA
"126","Auxis thazard","Chordata","Teleostei"
"127","Cottoperca gobio","Chordata","Teleostei"
"128","Todarodes angolensis","Mollusca","Cephalopoda"
"129","Phoebetria fusca","Chordata","Aves"
"130","Paralichthys","Chordata","Teleostei"
"131","Squalus megalops","Chordata","Elasmobranchii"
"132","Nemadactylus bergi","Chordata","Teleostei"
"133","Mustelus schmitti","Chordata","Elasmobranchii"
"134","Euphausiacea","Arthropoda","Malacostraca"
"135","Stramonita haemastoma","Mollusca","Gastropoda"
"136","Corycaeus","Arthropoda","Copepoda"
"137","Sepia australis","Mollusca","Cephalopoda"
"138","Acanthocybium solandri","Chordata","Teleostei"
"139","Etrumeus whiteheadi","Chordata","Teleostei"
"140","Ctenocalanus","Arthropoda","Copepoda"
"141","Canthidermis maculata","Chordata","Teleostei"
"142","Sepia hieronis","Mollusca","Cephalopoda"
"143","Electrona carlsbergi","Chordata","Teleostei"
"144","Calanus propinquus","Arthropoda","Copepoda"
"145","Merluccius polli","Chordata","Teleostei"
"146","Coryphaena hippurus","Chordata","Teleostei"
"147","Paraeuchaeta antarctica","Arthropoda","Copepoda"
"148","Sparisoma axillare","Chordata","Teleostei"
"149","Puffinus gravis","Chordata","Aves"
"150","Nannocalanus minor","Arthropoda","Copepoda"
"151","Austrorossia enigmatica","Mollusca","Cephalopoda"
"152","Polychaeta","Annelida","Polychaeta"
"153","Trachurus trecae","Chordata","Teleostei"
"154","Animalia",NA,NA
"155","Seriolella porosa","Chordata","Teleostei"
"156","Euchaeta marina","Arthropoda","Copepoda"
"157","Acanthurus coeruleus","Chordata","Teleostei"
"158","Paracalanus parvus parvus","Arthropoda","Copepoda"
"159","Sterna paradisaea","Chordata","Aves"
"160","Elagatis bipinnulata","Chordata","Teleostei"
"161","Halichoeres radiatus","Chordata","Teleostei"
"162","Aristeus varidens","Arthropoda","Malacostraca"
"163","Malacoctenus brunoi","Chordata","Teleostei"
"164","Sparisoma amplum","Chordata","Teleostei"
"165","Congiopodus spinifer","Chordata","Teleostei"
"166","Pomatomus saltatrix","Chordata","Teleostei"
"167","Squalus mitsukurii","Chordata","Elasmobranchii"
"168","Bathylagus antarcticus","Chordata","Teleostei"
"169","Parapenaeus longirostris","Arthropoda","Malacostraca"
"170","Engraulis anchoita","Chordata","Teleostei"
"171","Mussismilia braziliensis","Cnidaria","Anthozoa"
"172","Otaria byronia","Chordata","Mammalia"
"173","Parona signata","Chordata","Teleostei"
"174","Jasus lalandii","Arthropoda","Malacostraca"
"175","Psammobatis","Chordata","Elasmobranchii"
"176","Salpidae","Chordata","Thaliacea"
"177","Metridia gerlachei","Arthropoda","Copepoda"
"178","Nemoossis belloci","Chordata","Teleostei"
"179","Dentex angolensis","Chordata","Teleostei"
"180","Neocalanus gracilis","Arthropoda","Copepoda"
"181","Brama brama","Chordata","Teleostei"
"182","Caranx crysos","Chordata","Teleostei"
"183","Genypterus brasiliensis","Chordata","Teleostei"
"184","Pagellus bellottii","Chordata","Teleostei"
"185","Harpacticoida","Arthropoda","Copepoda"
"186","Clausocalanus furcatus","Arthropoda","Copepoda"
"187","Chelidonichthys queketti","Chordata","Teleostei"
"188","Sterna bergii","Chordata","Aves"
"189","Siphonophorae","Cnidaria","Hydrozoa"
"190","Themisto gaudichaudii","Arthropoda","Malacostraca"
"191","Amphipoda","Arthropoda","Malacostraca"
"192","Mursia cristiata","Arthropoda","Malacostraca"
"193","Lampanyctodes hectoris","Chordata","Teleostei"
"194","Zenopsis conchifer","Chordata","Teleostei"
"195","Acanthurus bahianus","Chordata","Teleostei"
"196","Exodromidia","Arthropoda","Malacostraca"
"197","Kaperangus microlepis","Chordata","Teleostei"
"198","Pterygosquilla capensis","Arthropoda","Malacostraca"
"199","Gastropoda","Mollusca","Gastropoda"
"200","Dentex macrophthalmus","Chordata","Teleostei"
"201","Clausocalanus laticeps","Arthropoda","Copepoda"
"202","Parvocalanus scotti","Arthropoda","Copepoda"
"203","Kyphosus sectatrix","Chordata","Teleostei"
"204","Undinula vulgaris","Arthropoda","Copepoda"
"205","Maurolicus muelleri","Chordata","Teleostei"
"206","Emmelichthys nitidus","Chordata","Teleostei"
"207","Salilota australis","Chordata","Teleostei"
"208","Myripristis jacobus","Chordata","Teleostei"
"209","Procellariidae","Chordata","Aves"
"210","Raneya brasiliensis","Chordata","Teleostei"
"211","Bathylagus","Chordata","Teleostei"
"212","Micropogonias furnieri","Chordata","Teleostei"
"213","Illex coindetii","Mollusca","Cephalopoda"
"214","Brevoortia pectinata","Chordata","Teleostei"
"215","Acanthistius brasilianus","Chordata","Teleostei"
"216","Metridia lucens lucens","Arthropoda","Copepoda"
"217","Makaira nigricans","Chordata","Teleostei"
"218","Mustelus palumbes","Chordata","Elasmobranchii"
"219","Urophycis brasiliensis","Chordata","Teleostei"
"220","Percophis brasiliensis","Chordata","Teleostei"
"221","Sebastes oculatus","Chordata","Teleostei"
"222","Zeus faber","Chordata","Teleostei"
"223","Leucoraja wallacei","Chordata","Elasmobranchii"
"224","Raja miraletus","Chordata","Elasmobranchii"
"225","Citharus linguatula","Chordata","Teleostei"
"226","Pseudopercis semifasciata","Chordata","Teleostei"
"227","Pleuromamma gracilis gracilis","Arthropoda","Copepoda"
"228","Octopoda","Mollusca","Cephalopoda"
"229","Carcharhinus falciformis","Chordata","Elasmobranchii"
"230","Thysanoessa","Arthropoda","Malacostraca"
"231","Squatina argentina","Chordata","Elasmobranchii"
"232","Halichoeres brasiliensis","Chordata","Teleostei"
"233","Lobotes surinamensis","Chordata","Teleostei"
"234","Aves","Chordata","Aves"
"235","Chlorophthalmus atlanticus","Chordata","Teleostei"
"236","Dipturus pullopunctatus","Chordata","Elasmobranchii"
"237","Paraprionospio pinnata","Annelida","Polychaeta"
"238","Cyclothone","Chordata","Teleostei"
"239","Rajella leoparda","Chordata","Elasmobranchii"
"240","Macronectes giganteus","Chordata","Aves"
"241","Auxis","Chordata","Teleostei"
"242","Bassanago albescens","Chordata","Teleostei"
"243","Sebastinae","Chordata","Teleostei"
"244","Oithona","Arthropoda","Copepoda"
"245","Merluccius","Chordata","Teleostei"
"246","Pleuromamma robusta robusta","Arthropoda","Copepoda"
"247","Lucigadus ori","Chordata","Teleostei"
"248","Brachydeuterus auritus","Chordata","Teleostei"
"249","Myctophidae","Chordata","Teleostei"
"250","Anthozoa","Cnidaria","Anthozoa"
"251","Fritillaria","Chordata","Appendicularia"
"252","Arctocephalus pusillus pusillus","Chordata","Mammalia"
"253","Triconia conifera","Arthropoda","Copepoda"
"254","Scolecithrix danae","Arthropoda","Copepoda"
"255","Phalacrocorax neglectus","Chordata","Aves"
"256","Sparisoma frondosum","Chordata","Teleostei"
"257","Dibranchus atlanticus","Chordata","Teleostei"
"258","Ctenocalanus vanus","Arthropoda","Copepoda"
"259","Brotula barbata","Chordata","Teleostei"
"260","Clausocalanus paululus","Arthropoda","Copepoda"
"261","Laemonema laureysi","Chordata","Teleostei"
"262","Gunnarea","Annelida","Polychaeta"
"263","Auxis rochei","Chordata","Teleostei"
"264","Halichoeres penrosei","Chordata","Teleostei"
"265","Coryphopterus glaucofraenum","Chordata","Teleostei"
"266","Mugil liza","Chordata","Teleostei"
"267","Umbrina canariensis","Chordata","Teleostei"
"268","Scutellastra granularis","Mollusca","Gastropoda"
"269","Oithona frigida","Arthropoda","Copepoda"
"270","Euthynnus alletteratus","Chordata","Teleostei"
"271","Nematocarcinus africanus","Arthropoda","Malacostraca"
"272","Actinopterygii","Chordata",NA
"273","Macruronus magellanicus","Chordata","Teleostei"
"274","Teleostei","Chordata","Teleostei"
"275","Pleuromamma abdominalis abdominalis","Arthropoda","Copepoda"
"276","Burnupena","Mollusca","Gastropoda"
"277","Microsetella norvegica","Arthropoda","Copepoda"
"278","Pseudupeneus maculatus","Chordata","Teleostei"
"279","Cynoscion guatucupa","Chordata","Teleostei"
"280","Sphyraena barracuda","Chordata","Teleostei"
"281","Coelorinchus caelorhincus","Chordata","Teleostei"
"282","Saurida brasiliensis","Chordata","Teleostei"
"283","Halichoeres poeyi","Chordata","Teleostei"
"284","Appendicularia","Chordata","Appendicularia"
"285","Mecynocera clausi","Arthropoda","Copepoda"
"286","Sympterygia","Chordata","Elasmobranchii"
"287","Microcalanus pygmaeus","Arthropoda","Copepoda"
"288","Euphausiidae","Arthropoda","Malacostraca"
"289","Euphausia frigida","Arthropoda","Malacostraca"
"290","Mesocalanus tenuicornis","Arthropoda","Copepoda"
"291","Littorina","Mollusca","Gastropoda"
"292","Nototheniops larseni","Chordata","Teleostei"
"293","Cruriraja parcomaculata","Chordata","Elasmobranchii"
"294","Siderastrea","Cnidaria","Anthozoa"
"295","Nephtys hombergii","Annelida","Polychaeta"
"296","Phosichthys argenteus","Chordata","Teleostei"
"297","Hoplostethus cadenati","Chordata","Teleostei"
"298","Hydrozoa","Cnidaria","Hydrozoa"
"299","Coelorinchus braueri","Chordata","Teleostei"
"300","Decapoda","Arthropoda","Malacostraca"
"301","Bassia bassensis","Cnidaria","Hydrozoa"
"302","Odontesthes","Chordata","Teleostei"
"303","Dentex barnardi","Chordata","Teleostei"
"304","Macrouridae","Chordata","Teleostei"
"305","Gymnoscopelus fraseri","Chordata","Teleostei"
"306","Diphyes bojani","Cnidaria","Hydrozoa"
"307","Mytilus galloprovincialis","Mollusca","Bivalvia"
"308","Euchaeta","Arthropoda","Copepoda"
"309","Campylonotus vagans","Arthropoda","Malacostraca"
"310","Xystreurys rasilis","Chordata","Teleostei"
"311","Ophioblennius trinitatis","Chordata","Teleostei"
"312","Coryphopterus","Chordata","Teleostei"
"313","Funchalia","Arthropoda","Malacostraca"
"314","Syllidae","Annelida","Polychaeta"
"315","Tripterophycis gilchristi","Chordata","Teleostei"
"316","Scolecithricella","Arthropoda","Copepoda"
"317","Gymnoscopelus nicholsi","Chordata","Teleostei"
"318","Malacocephalus occidentalis","Chordata","Teleostei"
"319","Fistularia petimba","Chordata","Teleostei"
"320","Eulithidium affine","Mollusca","Gastropoda"
"321","Lissarca notorcadensis","Mollusca","Bivalvia"
"322","Temora turbinata","Arthropoda","Copepoda"
"323","Bryozoa","Bryozoa",NA
"324","Bunodactis","Cnidaria","Anthozoa"
"325","Atherinella brasiliensis","Chordata","Teleostei"
"326","Thalassarche chlororhynchos","Chordata","Aves"
"327","Prionotus punctatus","Chordata","Teleostei"
"328","Boops boops","Chordata","Teleostei"
"329","Calocalanus pavo","Arthropoda","Copepoda"
"330","Oncaea media","Arthropoda","Copepoda"
"331","Nitzschia","Platyhelminthes","Monogenea"
"332","Yarrella blackfordi","Chordata","Teleostei"
"333","Peristedion cataphractum","Chordata","Teleostei"
"334","Parapagurus pilosimanus","Arthropoda","Malacostraca"
"335","Symbolophorus boops","Chordata","Teleostei"
"336","Gadella imberbis","Chordata","Teleostei"
"337","Rypticus saponaceus","Chordata","Teleostei"
"338","Bivalvia","Mollusca","Bivalvia"
"339","Stegastes pictus","Chordata","Teleostei"
"340","Mulloidichthys martinicus","Chordata","Teleostei"
"341","Abylopsis tetragona","Cnidaria","Hydrozoa"
"342","Calanus","Arthropoda","Copepoda"
"343","Selene dorsalis","Chordata","Teleostei"
"344","Sterna vittata","Chordata","Aves"
"345","Trigla lyra","Chordata","Teleostei"
"346","Caretta caretta","Chordata",NA
"347","Sagitta","Chaetognatha","Sagittoidea"
"348","Malacanthus plumieri","Chordata","Teleostei"
"349","Lutjanus jocu","Chordata","Teleostei"
"350","Eurypodius latreillii","Arthropoda","Malacostraca"
"351","Stereomastis","Arthropoda","Malacostraca"
"352","Montastraea cavernosa","Cnidaria","Anthozoa"
"353","Nemertea","Nemertea",NA
"354","Microsetella rosea","Arthropoda","Copepoda"
"355","Atlantoraja castelnaui","Chordata","Elasmobranchii"
"356","Siderastrea stellata","Cnidaria","Anthozoa"
"357","Paralichthys isosceles","Chordata","Teleostei"
"358","Champsodon capensis","Chordata","Teleostei"
"359","Tanaidacea","Arthropoda","Malacostraca"
"360","Mussismilia hispida","Cnidaria","Anthozoa"
"361","Oithona plumifera","Arthropoda","Copepoda"
"362","Actiniaria","Cnidaria","Anthozoa"
"363","Hyperiidea","Arthropoda","Malacostraca"
"364","Mollusca","Mollusca",NA
"365","Odontesthes argentinensis","Chordata","Teleostei"
"366","Hymenocephalus italicus","Chordata","Teleostei"
"367","Lumbrineris heteropoda difficilis","Annelida","Polychaeta"
"368","Sarpa salpa","Chordata","Teleostei"
"369","Halosaurus ovenii","Chordata","Teleostei"
"370","Chthamalus","Arthropoda","Thecostraca"
"371","Bembrops heterurus","Chordata","Teleostei"
"372","Calanidae","Arthropoda","Copepoda"
"373","Lagocephalus laevigatus","Chordata","Teleostei"
"374","Dentex congoensis","Chordata","Teleostei"
"375","Mustelus","Chordata","Elasmobranchii"
"376","Mediomastus capensis","Annelida","Polychaeta"
"377","Lucicutia flavicornis","Arthropoda","Copepoda"
"378","Galeus polli","Chordata","Elasmobranchii"
"379","Ariomma bondi","Chordata","Teleostei"
"380","Physiculus capensis","Chordata","Teleostei"
"381","Scyliorhinus capensis","Chordata","Elasmobranchii"
"382","Isurus oxyrinchus","Chordata","Elasmobranchii"
"383","Gnatholepis thompsoni","Chordata","Teleostei"
"384","Seriola rivoliana","Chordata","Teleostei"
"385","Rajella barnardi","Chordata","Elasmobranchii"
"386","Enteroctopus magnificus","Mollusca","Cephalopoda"
"387","Aulacomya atra","Mollusca","Bivalvia"
"388","Bodianus rufus","Chordata","Teleostei"
"389","Fregetta tropica","Chordata","Aves"
"390","Chloroscombrus chrysurus","Chordata","Teleostei"
"391","Lepidochelys olivacea","Chordata",NA
"392","Ovalipes trimaculatus","Arthropoda","Malacostraca"
"393","Nezumia aequalis","Chordata","Teleostei"
"394","Myliobatis goodei","Chordata","Elasmobranchii"
"395","Epinephelus adscensionis","Chordata","Teleostei"
"396","Euchirella","Arthropoda","Copepoda"
"397","Rochinia","Arthropoda","Malacostraca"
"398","Cymbula granatina","Mollusca","Gastropoda"
"399","Balistes capriscus","Chordata","Teleostei"
"400","Farranula gracilis","Arthropoda","Copepoda"
"401","Protomyctophum choriodon","Chordata","Teleostei"
"402","Oithona setigera setigera","Arthropoda","Copepoda"
"403","Brachygenys chrysargyreum","Chordata","Teleostei"
"404","Hoplostethus mediterraneus","Chordata","Teleostei"
"405","Sepia officinalis","Mollusca","Cephalopoda"
"406","Notacanthus sexspinis","Chordata","Teleostei"
"407","Atherinopsidae","Chordata","Teleostei"
"408","Chaunax pictus","Chordata","Teleostei"
"409","Holacanthus tricolor","Chordata","Teleostei"
"410","Squalus cubensis","Chordata","Elasmobranchii"
"411","Clausocalanus arcuicornis arcuicornis","Arthropoda","Copepoda"
"412","Parvocalanus crassirostris","Arthropoda","Copepoda"
"413","Sepia","Mollusca","Cephalopoda"
"414","Lycoteuthis lorigera","Mollusca","Cephalopoda"
"415","Isopoda","Arthropoda","Malacostraca"
"416","Lumbrineris meteorana","Annelida","Polychaeta"
"417","Lycengraulis grossidens","Chordata","Teleostei"
"418","Uraspis secunda","Chordata","Teleostei"
"419","Chelidonichthys gabonensis","Chordata","Teleostei"
"420","Oikopleura","Chordata","Appendicularia"
"421","Calocalanus","Arthropoda","Copepoda"
"422","Thysanoessa macrura","Arthropoda","Malacostraca"
"423","Mullus argentinae","Chordata","Teleostei"
"424","Umbrina canosai","Chordata","Teleostei"
"425","Oceanites oceanicus","Chordata","Aves"
"426","Afrololigo mercatoris","Mollusca","Cephalopoda"
"427","Chaceon maritae","Arthropoda","Malacostraca"
"428","Torpedo torpedo","Chordata","Elasmobranchii"
"429","Spicara altum","Chordata","Teleostei"
"430","Kyphosus","Chordata","Teleostei"
"431","Helcion dunkeri","Mollusca","Gastropoda"
"432","Xiphopenaeus kroyeri","Arthropoda","Malacostraca"
"433","Chaetodon hoefleri","Chordata","Teleostei"
"434","Rhincalanus cornutus cornutus","Arthropoda","Copepoda"
"435","Antarctomysis maxima","Arthropoda","Malacostraca"
"436","Prionace glauca","Chordata","Elasmobranchii"
"437","Candaciidae","Arthropoda","Copepoda"
"438","Pomacanthus paru","Chordata","Teleostei"
"439","Glycinde multidens","Annelida","Polychaeta"
"440","Spionidae","Annelida","Polychaeta"
"441","Siphonaria","Mollusca","Gastropoda"
"442","Protomyctophum tenisoni","Chordata","Teleostei"
"443","Vinciguerria nimbaria","Chordata","Teleostei"
"444","Daption capense","Chordata","Aves"
"445","Fissurella","Mollusca","Gastropoda"
"446","Lamprogrammus exutus","Chordata","Teleostei"
"447","Callianassa australis","Arthropoda","Malacostraca"
"448","Pachymetopon aeneum","Chordata","Teleostei"
"449","Paranthias furcifer","Chordata","Teleostei"
"450","Chaetodon striatus","Chordata","Teleostei"
"451","Prionotus nudigula","Chordata","Teleostei"
"452","Chauliodus sloani","Chordata","Teleostei"
"453","Austrocidaris canaliculata","Echinodermata","Echinoidea"
"454","Delibus nudus","Arthropoda","Copepoda"
"455","Lampanyctus achirus","Chordata","Teleostei"
"456","Epinephelus aeneus","Chordata","Teleostei"
"457","Nezumia","Chordata","Teleostei"
"458","Euterpina acutifrons","Arthropoda","Copepoda"
"459","Pseudechinus magellanicus","Echinodermata","Echinoidea"
"460","Corycaeus speciosus","Arthropoda","Copepoda"
"461","Acartia (Odontacartia) lilljeborgii","Arthropoda","Copepoda"
"462","Scutellastra argenvillei","Mollusca","Gastropoda"
"463","Polyprion americanus","Chordata","Teleostei"
"464","Haloptilus","Arthropoda","Copepoda"
"465","Pollichthys mauli","Chordata","Teleostei"
"466","Ophiosabine vivipara","Echinodermata","Ophiuroidea"
"467","Paracalanus","Arthropoda","Copepoda"
"468","Dipturus trachyderma","Chordata","Elasmobranchii"
"469","Haemulon parra","Chordata","Teleostei"
"470","Sardinella aurita","Chordata","Teleostei"
"471","Bathyuroconger vicinus","Chordata","Teleostei"
"472","Boopsoidea inornata","Chordata","Teleostei"
"473","Balistes vetula","Chordata","Teleostei"
"474","Scaphocalanus","Arthropoda","Copepoda"
"475","Psychrolutes macrocephalus","Chordata","Teleostei"
"476","Thouarella","Cnidaria","Anthozoa"
"477","Cantherhines macrocerus","Chordata","Teleostei"
"478","Pseudobatos percellens","Chordata","Elasmobranchii"
"479","Xenodermichthys copei","Chordata","Teleostei"
"480","Haematopus moquini","Chordata","Aves"
"481","Bathyraja brachyurops","Chordata","Elasmobranchii"
"482","Crustacea","Arthropoda",NA
"483","Mugil curema","Chordata","Teleostei"
"484","Sepia orbignyana","Mollusca","Cephalopoda"
"485","Dicologlossa cuneata","Chordata","Teleostei"
"486","Caranx bartholomaei","Chordata","Teleostei"
"487","Microspathodon chrysurus","Chordata","Teleostei"
"488","Scorpaena normani","Chordata","Teleostei"
"489","Solenocera africana","Arthropoda","Malacostraca"
"490","Etmopterus spinax","Chordata","Elasmobranchii"
"491","Oncaea venusta","Arthropoda","Copepoda"
"492","Callinectes danae","Arthropoda","Malacostraca"
"493","Thyrsitops lepidopoides","Chordata","Teleostei"
"494","Dentex gibbosus","Chordata","Teleostei"
"495","Gobionotothen gibberifrons","Chordata","Teleostei"
"496","Mustelus mustelus","Chordata","Elasmobranchii"
"497","Benthodesmus tenuis","Chordata","Teleostei"
"498","Pisces","Chordata",NA
"499","Callinectes ornatus","Arthropoda","Malacostraca"
"500","Parapagurus","Arthropoda","Malacostraca"
"501","Scolecithricella minor minor","Arthropoda","Copepoda"
"502","Carcharhinus longimanus","Chordata","Elasmobranchii"
"503","Epigonus telescopus","Chordata","Teleostei"
"504","Ampelisca brevicornis","Arthropoda","Malacostraca"
"505","Heterorhabdus papilliger","Arthropoda","Copepoda"
"506","Alloteuthis africana","Mollusca","Cephalopoda"
"507","Abylopsis eschscholtzii","Cnidaria","Hydrozoa"
"508","Ampelisca anomala","Arthropoda","Malacostraca"
"509","Arctocephalus pusillus","Chordata","Mammalia"
"510","Octopus vulgaris","Mollusca","Cephalopoda"
"511","Larus hartlaubii","Chordata","Aves"
"512","Discoconchoecia elegans","Arthropoda","Ostracoda"
"513","Macronectes halli","Chordata","Aves"
"514","Chaetodon ocellatus","Chordata","Teleostei"
"515","Squatina guggenheim","Chordata","Elasmobranchii"
"516","Pareledone charcoti","Mollusca","Cephalopoda"
"517","Squatina oculata","Chordata","Elasmobranchii"
"518","Haloptilus longicornis","Arthropoda","Copepoda"
"519","Gaetanus","Arthropoda","Copepoda"
"520","Pachyptila vittata","Chordata","Aves"
"521","Cirripedia","Arthropoda","Thecostraca"
"522","Sciaenidae","Chordata","Teleostei"
"523","Terebellides stroemii","Annelida","Polychaeta"
"524","Hemipodia californiensis","Annelida","Polychaeta"
"525","Phalacrocorax capensis","Chordata","Aves"
"526","Dipturus flavirostris","Chordata","Elasmobranchii"
"527","Pelagobia","Annelida","Polychaeta"
"528","Lophius vaillanti","Chordata","Teleostei"
"529","Nucella dubia","Mollusca","Gastropoda"
"530","Diaphus dumerilii","Chordata","Teleostei"
"531","Trochia cingulata","Mollusca","Gastropoda"
"532","Pachyptila","Chordata","Aves"
"533","Oithona hebes","Arthropoda","Copepoda"
"534","Lepidophanes guentheri","Chordata","Teleostei"
"535","Mecynocera gracilis","Arthropoda","Copepoda"
"536","Pinguipes brasilianus","Chordata","Teleostei"
"537","Notomegabalanus","Arthropoda","Thecostraca"
"538","Limacina","Mollusca","Gastropoda"
"539","Dendropoma","Mollusca","Gastropoda"
