NameBeforeCor,acceptedName_wormsV1,genus_wormsV1,class_wormsV1,phylum_wormsV1,PremierNom,Article_authors,Article_year,Article_title,Article_journal,Article_vol,Article_start.Page,Article_end.Page,GeneticMarker,Nb_CS,Morpho_diff,relativeDistribution,Eco_diff,Repro_diff,RIOK,Nig,Nsg,Nim,Nsm,Region,Comments,Larva,Habitat,adultDispersal,gs,yearb,Nb_CScomplex_inArticle,Npol,Ntemp,Trop,Stemp,Spol,nb_zones,SimplifiedName,ncbi,mito,dna,larv.pktro,larv.leci,larv.dd,larv.pel,larva,Hpelagic,Hcoastal,Hcoralreef,Hdeepsea,Hintertidal,Hseagrass,Hestuarine,Hcave,adultbenthic,adultpelagic,HabAdu,Demersal,HKKv3,Hsubstrate,HDifAccess,Dispers,DispAdult,Geo_dif3,NoMorphoDiff,StatMorphoDiff,DiagMorphoDiff,phylum_class,hard_skeleton,ferti,image,genitals,CSss,Sympatric,Repro_invest,Larv_type,shallow
Alpheus spp.,NA,Alpheus,Malacostraca,Arthropoda,Alpheus,"Williams, ST; Knowlton, N; Weigt, LA; Jara, JA",2001,Evidence for three major clades within the snapping shrimp genus Alpheus inferred from nuclear and mitochondrial gene sequence data,MOLECULAR PHYLOGENETICS AND EVOLUTION,20,375,389,"mtDNA, other nuclear",7,Statistic,"Allopatric, Sympatric",No,NA,TRUE,119,4,8,5,"Pacific, Caribbean, Atlantic",NA,NA,"Coral reef, Soft sediment, Rocky shore, mangrove,echiuran burrows","Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef, Soft sediment, Rocky shore, mangrove,echiuran burrows,Demersal or benthic, Coastal",TRUE,10,Sediment and Rocky,Average,NA,Demersal or benthic,"Sympatric, Allopatric",FALSE,TRUE,FALSE,Arthropoda_Malacostraca,Y,I,Y,Y,TRUE,TRUE,NA,NA,FALSE
Amblyosyllis spp.,NA,Amblyosyllis,Polychaeta,Annelida,Amblyosyllis,"Aguado, MT; Capa, M; Lago-Barcia, D; Gil, J; Pleijel, F; Nygren, A",2019,"Species delimitation in Amblyosyllis (Annelida, Syllidae)",PLOS ONE,14,NA,NA,"mtDNA, other nuclear, the nuclear is 28S (D1)",NA,NA,"Allopatric, Sympatric",NA,NA,TRUE,115,NA,115,NA,World,2 species have a wide geographic distribution.,"Brooding, Not sure - need to look up elsewhere, For A. speciosa, dioecious and epigamous (reproductive individuals with posterior segments full of gametes and enlarged eyes), the fertilization is external, females brood egg masses (during at least five consecutive reproductive processes), and the juveniles develop without free-living larval previous stages. A. anae also lacks larval stage. Probably all of them.","Amblyosyllis species have been found in the intertidal and subtidal zones (0–200 m), on a large variety of substrates and in association with different organisms (rocky shores, coarse sand, algae, ascidians, bryozoans, sponges, mollusks, etc.). Very little is known about the diet of most syllids, but some members of Amblyosyllis have been observed feeding on sponges.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"Amblyosyllis species have been found in the intertidal and subtidal zones (0–200 m), on a large variety of substrates and in association with different organisms (rocky shores, coarse sand, algae, ascidians, bryozoans, sponges, mollusks, etc.). Very little is known about the diet of most syllids, but some members of Amblyosyllis have been observed feeding on sponges.,NA",FALSE,NA,Rocky,Accessible,NA,NA,"Sympatric, Allopatric",NA,NA,NA,Annelida_Polychaeta,N,B,N,N,NA,TRUE,HIGH,DD,FALSE
Amphiglena spp.,NA,Amphiglena,Polychaeta,Annelida,Amphiglena,"Tilic, E; Feerst, K; Rouse, GW",2019,"Two new species of Amphiglena ( Sabellidae, Annelida ), with an assessment of hidden diversity in the Mediterranean",ZOOTAXA,4648,337,353,"mtDNA, other nuclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic, Mediterranean, Pacific","One of the 2 new species described had no diagnostic not even statistic apparently) morphological differences with an already existing species, but has been given a name given its high COI divergence. The other had diagnostic characters.",Pelagic,Coastal,Demersal or benthic,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal,Demersal or benthic",TRUE,25,NA,Average,Moderate to high,Demersal or benthic,NA,NA,NA,NA,Annelida_Polychaeta,N,B,N,N,NA,NA,NA,NA,FALSE
Amphiprion spp.,NA,Amphiprion,Actinopterygii,Chordata,Amphiprion,"Timm, Janne; Figiel, Malgorzata; Kochzius, Marc",2008,"Contrasting patterns in species boundaries and evolution of anemonefishes (Amphiprioninae, Pomacentridae) in the centre of marine biodiversity",MOLECULAR PHYLOGENETICS AND EVOLUTION,49,268,276,mtDNA,3,NA,Allopatric,NA,NA,NA,52,9,NA,NA,Indo-Pacific,NA,NA,Coral reef,Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,NA,Demersal or benthic,Allopatric,NA,NA,NA,Chordata_Actinopterygii,Y,E,Y,N,NA,FALSE,NA,NA,FALSE
Aplus sp.,NA,Aplus,Gastropoda,Mollusca,Aplus,"Aissaoui, C; Puillandre, N; Bouchet, P; Fassio, G; Modica, MV; Oliverio, M",2016,Cryptic diversity in Mediterranean gastropods of the genus Aplus (Neogastropoda: Buccinidae),SCIENTIA MARINA,80,521,533,mtDNA,7,Diagnostic,"Allopatric, Sympatric",NA,NA,TRUE,66,12,66,12,Mediterranean,"4 recognized species now split into 7, but no connection between NS and the particular CS identified.",Lecithotrophic,"Soft sediment, Rocky shore, Coastal, Intertidal or tide pools",Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic",TRUE,5,Sediment and Rocky,Accessible,NA,Demersal or benthic,"Sympatric, Allopatric",FALSE,FALSE,TRUE,Mollusca_Gastropoda,Y,B,Y,B,FALSE,TRUE,HIGH,LT,TRUE
Aurelia spp.,NA,Aurelia,Scyphozoa,Cnidaria,Aurelia,"Dawson, MN; Sen Gupta, A; England, MH",2005,Coupled biophysical global ocean model and molecular genetic analyses identify multiple introductions of cryptogenic species,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,102,11968,11973,"mtDNA, other nuclear",13,Statistic,"Allopatric, Sympatric",Yes,NA,TRUE,240,77,15,9,"Global, Adriatic, Mediterranean",NA,"Pelagic, Demersal or benthic","Pelagic, Coastal also",Pelagic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic, Coastal also,Pelagic",FALSE,1000,NA,Average,High,Pelagic,"Sympatric, Allopatric",FALSE,TRUE,FALSE,Cnidaria_Scyphozoa,N,E,N,N,TRUE,TRUE,NA,NA,FALSE
Bathymodiolus spp.,NA,Bathymodiolus,Bivalvia,Mollusca,Bathymodiolus,"Won, Y; Young, CR; Lutz, RA; Vrijenhoek, RC",2003,Dispersal barriers and isolation among deep-sea mussel populations (Mytilidae : Bathymodiolus) from eastern Pacific hydrothermal vents,MOLECULAR ECOLOGY,12,169,184,"mtDNA, Allozymes",2,NA,"Allopatric, Parapatric",NA,NA,NA,278,10,NA,NA,Pacific,NA,Planktotroph,"Deep sea, hydrothermal vents",Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Deep sea, hydrothermal vents,Demersal or benthic",TRUE,100,NA,Inaccessible,NA,Demersal or benthic,Allopatric,NA,NA,NA,Mollusca_Bivalvia,Y,E,N,N,NA,FALSE,LOW,PT,FALSE
Bathytoma spp.,NA,Bathytoma,Gastropoda,Mollusca,Bathytoma,"Puillandre, Nicolas; Sysoev, Alexander V.; Olivera, Baldomero M.; Couloux, Arnaud; Bouchet, Philippe",2010,"Loss of planktotrophy and speciation: geographical fragmentation in the deep-water gastropod genus Bathytoma (Gastropoda, Conoidea) in the western Pacific",SYSTEMATICS AND BIODIVERSITY,8,371,394,"mtDNA, ITS",11,Statistic,Allopatric,Yes,NA,TRUE,138,23,101,23,Indo-Pacific,NA,Direct development,unknown,Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"unknown,Demersal or benthic",TRUE,NA,NA,Average,Very low or null,Demersal or benthic,Allopatric,FALSE,TRUE,FALSE,Mollusca_Gastropoda,Y,B,Y,B,TRUE,FALSE,HIGH,DD,FALSE
Bollmannia group sp.nov,NA,Bollmannia,Actinopterygii,Chordata,Bollmannia,"Ruber, L; Van Tassell, JL; Zardoya, R",2003,"Rapid speciation and ecological divergence in the American seven-spined gobies (Gobiidae, Gobiosomatini) inferred from a molecular phylogeny",EVOLUTION,57,1584,1598,mtDNA,2,NA,Allopatric,NA,NA,NA,1,1,NA,NA,NA,NA,Unknown,"Coral reef, Rocky shore, Coastal, Estuarine","Demersal or benthic, Coastal",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Coral reef, Rocky shore, Coastal, Estuarine,Demersal or benthic, Coastal",TRUE,10,Rocky,Average,NA,Demersal or benthic,Allopatric,NA,NA,NA,Chordata_Actinopterygii,Y,E,Y,N,NA,FALSE,NA,NA,FALSE
Bolma spp.,NA,Bolma,Gastropoda,Mollusca,Bolma,"Castelin, M; Williams, ST; Buge, B; Maestrati, P; Lambourdiere, J; Ozawa, T; Utge, J; Couloux, A; Alf, A; Samadi, S",2017,"Untangling species identity in gastropods with polymorphic shells in the genus Bolma Risso, 1826 (Mollusca, Vetigastropoda)",EUROPEAN JOURNAL OF TAXONOMY,288,1,21,"mtDNA, other nuclear, the nuclear marker is 28S",6,NA,"Allopatric, Sympatric, Not sure sympatry but clearly say that not so many restricted rnges as previously thought",NA,NA,TRUE,196,20,NA,NA,"Pacific, Atlantic, Mediterranean, ...",NA,Lecithotrophic,Deep sea,Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Deep sea,Demersal or benthic",TRUE,100,NA,Inaccessible,NA,Demersal or benthic,"Sympatric, Allopatric",NA,NA,NA,Mollusca_Gastropoda,Y,B,Y,B,NA,TRUE,HIGH,LT,FALSE
Bostrycapulus spp.,NA,Bostrycapulus,Gastropoda,Mollusca,Bostrycapulus,"Collin, R",2005,"Development, phylogeny, and taxonomy of Bostrycapulus (Caenogastropoda : Calyptraeidae), an ancient cryptic radiation",ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,144,75,101,mtDNA,8,No differentiation,Allopatric,NA,NA,NA,38,23,38,23,Global,NA,"Planktotroph, Direct development, Brooding","Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,Rocky,Accessible,Very low or null,Demersal or benthic,Allopatric,TRUE,FALSE,FALSE,Mollusca_Gastropoda,Y,B,Y,B,TRUE,FALSE,NA,NA,TRUE
Calcinus spp.,NA,Calcinus,Malacostraca,Arthropoda,Calcinus,"Malay, Maria Celia (Machel) D.; Paulay, Gustav",2010,PERIPATRIC SPECIATION DRIVES DIVERSIFICATION AND DISTRIBUTIONAL PATTERN OF REEF HERMIT CRABS (DECAPODA: DIOGENIDAE: CALCINUS),EVOLUTION,64,634,662,"mtDNA, other nuclear",9,Statistic,"Allopatric, Sympatric",NA,NA,TRUE,166,32,166,32,Global,NA,NA,Coral reef,Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,NA,Demersal or benthic,"Sympatric, Allopatric",FALSE,TRUE,FALSE,Arthropoda_Malacostraca,Y,I,Y,Y,TRUE,TRUE,NA,NA,FALSE
Carcinus spp.,NA,Carcinus,Malacostraca,Arthropoda,Carcinus,"Geller, JB; Walton, ED; Grosholz, ED; Ruiz, GM",1997,Cryptic invasions of the crab Carcinus detected by molecular phylogeography,MOLECULAR ECOLOGY,6,901,906,mtDNA,2,NA,Allopatric,NA,NA,NA,83,12,NA,NA,"Atlantic, Mediterranean",Although the study is global the native range is atlantic/mediterranean.,Planktotroph,"Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,Rocky,Accessible,NA,Demersal or benthic,Allopatric,NA,NA,NA,Arthropoda_Malacostraca,Y,I,Y,Y,NA,FALSE,LOW,PT,FALSE
Cassiopea spp.,NA,Cassiopea,Scyphozoa,Cnidaria,Cassiopea,"Holland, BS; Dawson, MN; Crow, GL; Hofmann, DK",2004,Global phylogeography of Cassiopea (Scyphozoa : Rhizostomeae): molecular evidence for cryptic species and multiple invasions of the Hawaiian Islands,MARINE BIOLOGY,145,1119,1128,mtDNA,6,NA,"Allopatric, Sympatric",NA,NA,NA,32,17,NA,NA,Global,NA,NA,"mangrove, lagoons",Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"mangrove, lagoons,Demersal or benthic",TRUE,10,NA,Average,NA,Demersal or benthic,"Sympatric, Allopatric",NA,NA,NA,Cnidaria_Scyphozoa,N,E,N,N,NA,TRUE,NA,NA,FALSE
Cenolia sp.,NA,Cenolia,Crinoidea,Echinodermata,Cenolia,"Naughton, K. M.; O'Hara, T. D.; Appleton, B.; Gardner, M. G.",2014,Sympatric cryptic species in the crinoid genus Cenolia (Echinodermata: Crinoidea: Comasteridae) delineated by sequence and microsatellite markers,MOLECULAR PHYLOGENETICS AND EVOLUTION,78,160,171,"mtDNA, microsatellites, other nuclear, ITS",3,Statistic,Sympatric,NA,NA,TRUE,315,13,315,13,Australia,NA,Lecithotrophic,Coastal,"Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal,Demersal or benthic, Coastal",TRUE,25,NA,Average,NA,Demersal or benthic,Sympatric,FALSE,TRUE,FALSE,Echinodermata_Crinoidea,Y,E,N,N,TRUE,TRUE,HIGH,LT,FALSE
Cerithidea sp.,NA,Cerithidea,Gastropoda,Mollusca,Cerithidea,"Reid, David G.; Claremont, Martine; Smith, Lisa; Shamoto, Manabu; Glaubrecht, Matthias; Ozawa, Tomowo",2013,Mosaics in the mangroves: allopatric diversification of tree-climbing mudwhelks (Gastropoda: Potamididae: Cerithidea) in the Indo-West Pacific,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,110,564,580,"mtDNA, other nuclear",15,No differentiation,Allopatric,NA,NA,NA,111,48,NA,NA,Indo-Pacific,"Shell morphology was diagnostic for some species but not all. Paper deals with 4 different nominal species, each of which is made up of several allopatric cryptic species. Morphology information is cited as unpublished data.",Planktotroph,"Coastal, mangrove","Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal, mangrove,Demersal or benthic, Coastal",TRUE,10,NA,Average,NA,Demersal or benthic,Allopatric,TRUE,FALSE,FALSE,Mollusca_Gastropoda,Y,B,Y,B,TRUE,FALSE,LOW,PT,FALSE
