"","NameBeforeCor","acceptedName_wormsV1","genus_wormsV1","class_wormsV1","phylum_wormsV1","Timestamp","Article.ID.number","PremierNom","Article_authors","Article_year","Article_title","Article_journal","Article_vol","Article_start.Page","Article_end.Page","OLD_Nb_CScomplex_inArticle","OLD_nb_RemainingArticles","OLD_nb_RemovedArticles","Group_survey","MainDataType","GeneticMarker","Nb_CS","Morpho_diff","relativeDistribution","Eco_diff","Repro_diff","RIOK","Nig","Nsg","Nim","Nsm","Region","Comments","Larva","Habitat","adultDispersal","SpeciesName","acceptedName_wormsOLD","genus_wormsOLD","class_wormsOLD","phylum_wormsOLD","KeepFATE","acceptedName_worms","gs","yearb","genus_worms","class_worms","phylum_worms","Nb_CScomplex_inArticle","nb_RemainingArticles","nb_RemovedArticles","nb_art","nb_Articles_per_sp","orig_Nig","orig_Nsg","orig_Nim","orig_Nsm","Npol","Ntemp","Trop","Stemp","Spol","nb_zones","range_long_r100","range_lat_r100","CHull_r100","NbSitesUsed_r100","SimplifiedName","ncbi","mito","dna","Geo_diff","larv.pktro","larv.leci","larv.dd","larv.pel","larva","Hpelagic","Hcoastal","Hcoralreef","Hdeepsea","Hintertidal","Hseagrass","Hestuarine","Hcave","adultbenthic","adultpelagic","HabAdu","Demersal","HKKv2","HKKv3","Hsubstrate","HDifAccess","Dispers","DispAdult","noNeedTaxonSearch","genus","genusBC","Geo_dif3","symp","sympara","allop","NoMorphoDiff","StatMorphoDiff","DiagMorphoDiff","phylum_class","hard_skeleton","ferti","image","genitals","CSss","Sympatric"
"118","Aequorea taiwanensis","Aequorea taiwanensis","Aequorea","Hydrozoa","Cnidaria",NA,NA,"Aequorea","Zheng Lianming; Lin Yuanshao; Li Shaojing; Cao Wenqing; Xu Zhenzu; Huang Jiaqi",2009,"Aequorea taiwanensis n. sp (Hydrozoa, Leptomedusae) and mtCOI sequence analysis for the genus Aequorea","ACTA OCEANOLOGICA SINICA",28,"109","115",1,1,0,"Cnidaria","Genetic, Morphological","mtDNA",2,"Statistic","Sympatric",NA,NA,TRUE,"11","2","11","2","Pacific",NA,"Unknown","Pelagic","Pelagic","Aequorea taiwanensis","Aequorea taiwanensis","Aequorea","Hydrozoa","Cnidaria","other","Aequorea taiwanensis",24,2009,"Aequorea","Hydrozoa","Cnidaria",1,1,0,1,1,"11","2","11","2",FALSE,TRUE,FALSE,FALSE,FALSE,1,NA,NA,NA,NA,"Aequorea taiwanensis","TRUE","TRUE","mito","Sympatric",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic,Pelagic",FALSE,1000,1000,NA,"Normal","High","Pelagic",NA,"Aequorea","Aequorea","Sympatric",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Cnidaria_Hydrozoa","N","E","N","N",TRUE,TRUE
"119","Aetobatus narutobiei sp. nov.","Aetobatus narutobiei","Aetobatus","Elasmobranchii","Chordata",NA,NA,"Aetobatus","White, William T.; Furumitsu, Keisuke; Yamaguchi, Atsuko",2013,"A New Species of Eagle Ray Aetobatus narutobiei from the Northwest Pacific: An Example of the Critical Role Taxonomy Plays in Fisheries and Ecological Sciences","PLOS ONE",8,NA,NA,1,1,0,"Fish","Genetic, Morphological","mtDNA",2,"Statistic","Allopatric",NA,NA,TRUE,"19","5","18","2","Indo-Pacific",NA,"Unknown","Pelagic","Pelagic","Aetobatus narutobiei sp. nov.","Aetobatus narutobiei","Aetobatus","Elasmobranchii","Chordata","other","Aetobatus narutobiei",5,2013,"Aetobatus","Elasmobranchii","Chordata",1,1,0,1,1,"19","5","18","2",FALSE,TRUE,TRUE,FALSE,FALSE,2,NA,NA,NA,NA,"Aetobatus narutobiei","TRUE","TRUE","mito","Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic,Pelagic",FALSE,1000,1000,NA,"Normal","High","Pelagic",NA,"Aetobatus","Aetobatus","Allopatric",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Chordata_Elasmobranchii","Y","I","Y","Y",TRUE,FALSE
"120","Aipysurus mosaicus","Aipysurus mosaicus","Aipysurus","Reptilia","Chordata",NA,NA,"Aipysurus","Sanders, Kate L.; Rasmussen, Arne R.; Elmberg, Johan; Mumpuni; Guinea, Michael; Blias, Peter; Lee, Michael S. Y.; Fry, Bryan G.",2012,"Aipysurus mosaicus, a new species of egg-eating sea snake (Elapidae: Hydrophiinae), with a redescription of Aipysurus eydouxii (Gray, 1849)","ZOOTAXA",NA,"1","18",1,1,0,"chordata (snake)","Genetic, Morphological","mtDNA, other nuclear",2,"Statistic","Allopatric",NA,NA,TRUE,"11","2","11","2","Indo-Pacific","full list of morpho characters is in another paper","Direct development","Soft sediment, Coastal","Coastal","Aipysurus mosaicus","Aipysurus mosaicus","Aipysurus","Reptilia","Chordata","other","Aipysurus mosaicus",8,2012,"Aipysurus","Reptilia","Chordata",1,1,0,1,1,"11","2","11","2",FALSE,FALSE,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,"Aipysurus mosaicus","TRUE","TRUE","nuc&mito","Allopatric",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Soft sediment, Coastal,Coastal",FALSE,NA,NA,"Sediment","Normal","Very low or null",NA,NA,"Aipysurus","Aipysurus","Allopatric",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Chordata_Reptilia","Y","I","Y","Y",TRUE,FALSE
"121","Albula gilberti","Albula gilberti","Albula","Actinopterygii","Chordata",NA,NA,"Albula","Pfeiler, Edward; Van der Heiden, Albert M.; Ruboyianes, Ryan S.; Watts, Tom",2011,"Albula gilberti, a new species of bonefish (Albuliformes: Albulidae) from the eastern Pacific, and a description of adults of the parapatric A. esuncula","ZOOTAXA",NA,"1","14",1,1,0,"Fish","Genetic, Morphological","mtDNA",2,"No differentiation","Allopatric",NA,NA,NA,NA,NA,"38","4","Pacific",NA,"Planktotroph, pelagic","Pelagic, Coastal","Coastal","Albula gilberti","Albula gilberti","Albula","Actinopterygii","Chordata","other","Albula gilberti",10,2011,"Albula","Actinopterygii","Chordata",1,1,0,1,1,NA,NA,"38","4",FALSE,TRUE,FALSE,FALSE,FALSE,1,NA,NA,NA,NA,"Albula gilberti","TRUE","TRUE","nuc&mito","Allopatric",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pelagic, Coastal,Coastal",FALSE,1000,1000,NA,"Normal","Moderate to high",NA,NA,"Albula","Albula","Allopatric",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Chordata_Actinopterygii","Y","E","Y","N",TRUE,FALSE
"122","Albula sp. cf. vulpes","Albula vulpes","Albula","Actinopterygii","Chordata",NA,NA,"Albula","Wallace, E. M.; Tringali, M. D.",2010,"Identification of a novel member in the family Albulidae (bonefishes)","JOURNAL OF FISH BIOLOGY",76,"1972","1983",1,1,0,"Fish","Genetic, Morphological","mtDNA, microsatellites",2,"No differentiation","Sympatric",NA,NA,TRUE,"864","9","9","9","Caribbean","habitat and larval info not given.","Planktotroph, Coastal","Coastal, Estuarine, Soft sediment","unknown","Albula sp. cf. vulpes","Albula vulpes","Albula","Actinopterygii","Chordata","other","Albula vulpes",10,1758,"Albula","Actinopterygii","Chordata",1,1,0,1,1,"864","9","9","9",FALSE,TRUE,TRUE,TRUE,FALSE,3,282.9803305,71.76666682,144424406,100,"Albula vulpes","TRUE","TRUE","nuc&mito","Sympatric",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Coastal, Estuarine, Soft sediment,unknown",FALSE,10,10,"Sediment","Normal",NA,NA,NA,"Albula","Albula","Sympatric",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Chordata_Actinopterygii","Y","E","Y","N",TRUE,TRUE
"123","Alcyonium coralloides","Alcyonium coralloides","Alcyonium","Anthozoa","Cnidaria",NA,NA,"Alcyonium","McFadden, CS",1999,"Genetic and taxonomic relationships among Northeastern Atlantic and Mediterranean populations of the soft coral Alcyonium coralloides","MARINE BIOLOGY",133,"171","184",1,1,0,"Cnidaria","Genetic, Morphological","Allozymes",4,"Statistic","Allopatric, Sympatric",NA,NA,TRUE,"792","13","702","13","Atlantic, Mediterranean",NA,"Lecithotrophic","Rocky shore, Coastal","Demersal or benthic","Alcyonium coralloides","Alcyonium coralloides","Alcyonium","Anthozoa","Cnidaria","other","Alcyonium coralloides",58,1766,"Alcyonium","Anthozoa","Cnidaria",1,1,0,1,1,"792","13","702","13",FALSE,TRUE,FALSE,TRUE,FALSE,2,NA,NA,NA,NA,"Alcyonium coralloides","TRUE","TRUE","nuc&mito","Sympatric, Allopatric",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal,Demersal or benthic",TRUE,25,25,"Rocky","Normal",NA,"Demersal or benthic",NA,"Alcyonium","Alcyonium","Sympatric, Allopatric",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Cnidaria_Anthozoa","Y","E","N","N",TRUE,TRUE
"124","Alderia willowi","Alderia willowi","Alderia","Gastropoda","Mollusca",NA,NA,"Alderia","Krug, Patrick J.; Ellingson, Ryan A.; Burton, Ron; Valdes, Anglel",2007,"A new Poecilogonous species of sea slug (Opisthobranchia : Sacoglossa) from California: Comparison with the planktotrophic congener Alderia modesta (Loven, 1844)","JOURNAL OF MOLLUSCAN STUDIES",73,"29","38",2,1,1,"Mollusca","Genetic, Morphological, Reproductive","mtDNA, Allozymes",2,"Diagnostic","Allopatric",NA,"Yes",TRUE,NA,NA,NA,NA,"California, North Pacific, North Atlantic","- Sea slug Alderia modesta was found to be poecilogonous, but only in California, because elsewhere only planktotrophic larvae were observed. 
- This paper (27 fixed differences in CoI, and morphology, 16S also sequenced) shows that the californian speci","Planktotroph","Estuarine","Demersal or benthic, Coastal","Alderia willowi","Alderia willowi","Alderia","Gastropoda","Mollusca","other","Alderia willowi",3,2007,"Alderia","Gastropoda","Mollusca",2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alderia willowi","TRUE","TRUE","nuc&mito","Allopatric",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Estuarine,Demersal or benthic, Coastal",TRUE,10,10,NA,"Normal",NA,"Demersal or benthic",NA,"Alderia","Alderia","Allopatric",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Mollusca_Gastropoda","Y","B","Y","B",FALSE,FALSE
"125","Alpheus buckupi spec. nov","Alpheus buckupi","Alpheus","Malacostraca","Arthropoda",NA,NA,"Alpheus","Almeida, Alexandre O.; Terossi, Mariana; Araujo-Silva, Catarina L.; Mantelatto, Fernando L.",2013,"Description of Alpheus buckupi spec. nov., a new amphi-Atlantic snapping shrimp (Caridea: Alpheidae), based on morphological and molecular data","ZOOTAXA",3652,"437","452",1,1,0,"Arthropoda","Genetic, Morphological","mtDNA",2,"Diagnostic","Allopatric",NA,NA,TRUE,"4","4","4","4","Atlantic",NA,"Unknown","Rocky shore, Coastal","Demersal or benthic, Coastal","Alpheus buckupi spec. nov","Alpheus buckupi","Alpheus","Malacostraca","Arthropoda","other","Alpheus buckupi",321,2013,"Alpheus","Malacostraca","Arthropoda",1,1,0,1,1,"4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alpheus buckupi","TRUE","TRUE","mito","Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal,Demersal or benthic, Coastal",TRUE,25,25,"Rocky","Normal",NA,"Demersal or benthic",NA,"Alpheus","Alpheus","Allopatric",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Arthropoda_Malacostraca","Y","I","Y","Y",FALSE,FALSE
"126","Alpheus cristulifrons","Alpheus cristulifrons","Alpheus","Malacostraca","Arthropoda",NA,NA,"Alpheus","Anker, Arthur; Hurt, Carla; Knowlton, Nancy",2008,"Revision of the Alpheus cristulifrons species complex (Crustacea : Decapoda : Alpheidae), with description of a new species from the tropical eastern Atlantic","JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM",88,"543","562",1,1,0,"Arthropoda","Genetic, Morphological","mtDNA",3,"Diagnostic","Allopatric",NA,NA,TRUE,NA,NA,NA,NA,"Pacific, Atlantic",NA,"Unknown","Coral reef, Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal","Alpheus cristulifrons","Alpheus cristulifrons","Alpheus","Malacostraca","Arthropoda","other","Alpheus cristulifrons",321,1900,"Alpheus","Malacostraca","Arthropoda",1,1,0,1,1,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,2,NA,NA,NA,NA,"Alpheus cristulifrons","TRUE","TRUE","nuc&mito","Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef, Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,10,10,"Rocky","Easy",NA,"Demersal or benthic",NA,"Alpheus","Alpheus","Allopatric",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Arthropoda_Malacostraca","Y","I","Y","Y",FALSE,FALSE
"127","Alpheus floridanus","Alpheus floridanus","Alpheus","Malacostraca","Arthropoda",NA,NA,"Alpheus","Bracken-Grissom, Heather D.; Felder, Darryl L.",2014,"Provisional revision of American snapping shrimp allied to Alpheus floridanus Kingsley, 1878 (Crustacea: Decapoda: Alpheidae) with notes on A. floridanus africanus","ZOOTAXA",3895,"451","491",1,1,0,"Arthropoda","Morphological","mtDNA",3,"Statistic","Allopatric, Sympatric",NA,NA,TRUE,NA,NA,NA,"8","Atlantic, Caribbean, Pacific",NA,"Unknown","Soft sediment, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal","Alpheus floridanus","Alpheus floridanus","Alpheus","Malacostraca","Arthropoda","other","Alpheus floridanus",321,1878,"Alpheus","Malacostraca","Arthropoda",1,1,0,1,1,NA,NA,NA,"8",FALSE,TRUE,TRUE,FALSE,FALSE,2,109.9103987,58.18599924,82653293.73,100,"Alpheus floridanus","TRUE","TRUE","nuc&mito","Sympatric, Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,5,"Sediment","Easy",NA,"Demersal or benthic",NA,"Alpheus","Alpheus","Sympatric, Allopatric",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Arthropoda_Malacostraca","Y","I","Y","Y",TRUE,TRUE
"128","Alpheus heterochaelis","Alpheus heterochaelis","Alpheus","Malacostraca","Arthropoda",NA,NA,"Alpheus","MCCLURE, MR; GREENBAUM, IF",1994,"BIOCHEMICAL VARIATION IN ALPHEUS (DECAPODA, CARIDEA, ALPHEIDAE) FROM THE COAST OF TEXAS - EVIDENCE FOR CRYPTIC SPECIES","Southwestern Naturalist",39,"63","66",1,1,1,"Arthropoda","Genetic","Allozymes",2,"Diagnostic","Sympatric",NA,NA,TRUE,"39","2",NA,NA,"gulf of Mexico","larval and adult habitat info not given","Planktotroph","Coastal, Estuarine","Demersal or benthic, Coastal","Alpheus heterochaelis","Alpheus heterochaelis","Alpheus","Malacostraca","Arthropoda","other","Alpheus heterochaelis",321,1818,"Alpheus","Malacostraca","Arthropoda",1,1,1,1,2,"39","2",NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,3,59.14879608,54.85227873,13752851.15,100,"Alpheus heterochaelis","TRUE","TRUE","mito","Sympatric",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Coastal, Estuarine,Demersal or benthic, Coastal",TRUE,10,10,NA,"Normal",NA,"Demersal or benthic",NA,"Alpheus","Alpheus","Sympatric",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Arthropoda_Malacostraca","Y","I","Y","Y",FALSE,TRUE
"129","Alpheus lottini","Alpheus lottini","Alpheus","Malacostraca","Arthropoda","05/01/2023 20:07",65,"Alpheus","Rouze, H; Leray, M; Magalon, H; Penin, L; Gelin, P; Knowlton, N; Fauvelot, C",2017,"Molecular characterization reveals the complexity of previously overlooked coral-exosymbiont interactions and the implications for coral-guild ecology","SCIENTIFIC REPORTS",7,NA,NA,NA,NA,0,"Arthropoda","Genetic, Morphological, Ecological","mtDNA",2,"Diagnostic","Sympatric","Yes",NA,TRUE,"162","4",NA,"4","Indo-Pacific","Two lineages rarely found in same coral head, but found at same sites","Planktotroph","Coral reef","Demersal or benthic, Coral reef","Alpheus lottini",NA,NA,NA,NA,"other","Alpheus lottini",321,1830,"Alpheus","Malacostraca","Arthropoda",1,1,0,1,1,"162","4","unclear","4",FALSE,TRUE,TRUE,TRUE,FALSE,3,237.3496971,61.516,97264914.99,100,"Alpheus lottini","TRUE","TRUE","nuc&mito","Sympatric",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic, Coral reef",TRUE,10,10,NA,"Normal",NA,"Demersal or benthic",NA,"Alpheus","Alpheus","Sympatric",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Arthropoda_Malacostraca","Y","I","Y","Y",FALSE,TRUE
"130","Alpheus nuttingi","Alpheus nuttingi","Alpheus","Malacostraca","Arthropoda",NA,NA,"Alpheus","Anker, Arthur; Hurt, Carla; Knowlton, Nancy",2007,"Revision of the Alpheus nuttingi (Schmitt) species complex (Crustacea : Decapoda : Alpheidae), with description of a new species from the tropical eastern Pacific","ZOOTAXA",NA,"41","60",1,1,0,"Arthropoda","Genetic, Morphological, Ecological","mtDNA",3,"Diagnostic","Allopatric, Sympatric","Yes",NA,TRUE,"10",NA,"35","9","Atlantic, Pacific",NA,"Unknown","Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal","Alpheus nuttingi","Alpheus nuttingi","Alpheus","Malacostraca","Arthropoda","other","Alpheus nuttingi",321,1924,"Alpheus","Malacostraca","Arthropoda",1,1,0,1,1,"10",NA,"35","9",FALSE,FALSE,TRUE,TRUE,FALSE,2,NA,NA,NA,NA,"Alpheus nuttingi","TRUE","TRUE","nuc&mito","Sympatric, Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,5,"Rocky","Easy",NA,"Demersal or benthic",NA,"Alpheus","Alpheus","Sympatric, Allopatric",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Arthropoda_Malacostraca","Y","I","Y","Y",FALSE,TRUE
"131","Alpheus soror","Alpheus soror","Alpheus","Malacostraca","Arthropoda",NA,NA,"Alpheus","Bruce, AJ",1999,"Alpheus soror, a new snapping shrimp cryptospecies from Sri Lanka (Crustacea : Decapoda : Alpheidae)","RAFFLES BULLETIN OF ZOOLOGY",47,"453","463",1,1,0,"Arthropoda","Morphological",NA,2,"Diagnostic","unknown",NA,NA,TRUE,NA,NA,"1","1","Indian","larval info not given. Distribution info unclear.","Unknown","Coral reef","Demersal or benthic","Alpheus soror","Alpheus soror","Alpheus","Malacostraca","Arthropoda","other","Alpheus soror",321,1999,"Alpheus","Malacostraca","Arthropoda",1,1,0,1,1,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alpheus soror","FALSE","FALSE","No seq","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,10,NA,"Normal",NA,"Demersal or benthic",NA,"Alpheus","Alpheus",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Arthropoda_Malacostraca","Y","I","Y","Y",FALSE,NA
"132","Alpheus wonkimi sp. nov","Alpheus wonkimi","Alpheus","Malacostraca","Arthropoda",NA,NA,"Alpheus","Anker, Arthur; Pachelle, Paulo P. G.",2013,"Re-examination of the eastern Pacific and Atlantic material of Alpheus malleator Dana, 1852, with the description of Alpheus wonkimi sp nov (Crustacea, Decapoda, Alpheidae)","ZOOTAXA",3637,"412","431",1,1,0,"Arthropoda","Genetic, Morphological","mtDNA, Allozymes",2,"Diagnostic","Allopatric",NA,NA,TRUE,NA,NA,"10","9","Atlantic, Caribbean, Eastern Pacific",NA,"Unknown","Coral reef","Demersal or benthic","Alpheus wonkimi sp. nov","Alpheus wonkimi","Alpheus","Malacostraca","Arthropoda","other","Alpheus wonkimi",321,2013,"Alpheus","Malacostraca","Arthropoda",1,1,0,1,1,NA,NA,"10","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alpheus wonkimi","TRUE","TRUE","mito","Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,10,NA,"Normal",NA,"Demersal or benthic",NA,"Alpheus","Alpheus","Allopatric",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Arthropoda_Malacostraca","Y","I","Y","Y",FALSE,FALSE
"133","Alviniconcha hessleri","Alviniconcha hessleri","Alviniconcha","Gastropoda","Mollusca",NA,NA,"Alviniconcha","Johnson, Shannon B.; Waren, Anders; Tunnicliffe, Verena; Van Dover, Cindy; Wheat, C. Geoffrey; Schultz, Thomas F.; Vrijenhoek, Robert C.",2015,"Molecular taxonomy and naming of five cryptic species of Alviniconcha snails (Gastropoda: Abyssochrysoidea) from hydrothermal vents","SYSTEMATICS AND BIODIVERSITY",13,"278","295",1,1,0,"Mollusca","Genetic, Morphological","mtDNA, other nuclear",5,"No differentiation","Allopatric, Sympatric",NA,NA,TRUE,"271","15","200","15","Indo-Pacific",NA,"Planktotroph","Deep sea","Demersal or benthic, abyssal","Alviniconcha hessleri","Alviniconcha hessleri","Alviniconcha","Gastropoda","Mollusca","other","Alviniconcha hessleri",6,1988,"Alviniconcha","Gastropoda","Mollusca",1,1,0,1,1,"271","15","200","15",FALSE,TRUE,TRUE,TRUE,FALSE,3,NA,NA,NA,NA,"Alviniconcha hessleri","TRUE","TRUE","nuc&mito","Sympatric, Allopatric",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Deep sea,Demersal or benthic, abyssal",TRUE,100,100,NA,"Difficult",NA,"Demersal or benthic",NA,"Alviniconcha","Alviniconcha","Sympatric, Allopatric",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Mollusca_Gastropoda","Y","B","Y","B",TRUE,TRUE
"134","Ammodytes hexapterus","Ammodytes hexapterus","Ammodytes","Actinopterygii","Chordata","06/01/2023 04:33",194,"Ammodytes","Turanov, SV; Kartavtsev, YP; Lipinsky, VV; Zemnukhov, VV; Balanov, AA; Lee, YH; Jeong, D",2016,"DNA-barcoding of perch-like fishes (Actinopterygii: Perciformes) from far-eastern seas of Russia with taxonomic remarks for some groups","MITOCHONDRIAL DNA PART A",27,"1188","1209",NA,NA,0,"Fish","Genetic, Morphological","mtDNA",2,"Statistic","unclear not many individuals",NA,NA,TRUE,"14",NA,NA,NA,"Russia, Okhotsk Sea, Pacific OCean, Bering Sea",NA,"Planktotroph","Soft sediment, Coastal, Intertidal or tide pools",NA,"Ammodytes hexapterus",NA,NA,NA,NA,"other","Ammodytes hexapterus",6,1814,"Ammodytes","Actinopterygii","Chordata",2,1,0,1,1,"14",NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,3,104.0217,33.66680183,11668788.92,100,"Ammodytes hexapterus","TRUE","TRUE","nuc&mito","",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"Soft sediment, Coastal, Intertidal or tide pools,NA",FALSE,5,5,"Sediment","Easy",NA,NA,NA,"Ammodytes","Ammodytes",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Chordata_Actinopterygii","Y","E","Y","N",TRUE,NA
"135","Amphipholis squamata","Amphipholis squamata","Amphipholis","Ophiuroidea","Echinodermata",NA,NA,"Amphipholis","Boissin, E.; Chenuil, A.; Feral, J. -P.",2010,"Species of the complex Amphipholis squamata (Ophiuroidae) from Marseilles","ECHINODERMS: DURHAM",NA,"135","138",1,1,4,"Echinodermata","Genetic","mtDNA, microsatellites, other nuclear",5,"Diagnostic","Sympatric",NA,NA,TRUE,"64","1",NA,NA,"Mediterranean",NA,"Direct development, Demersal or benthic, Brooding","Rocky shore, Seagrass, Coastal","Demersal or benthic","Amphipholis squamata","Amphipholis squamata","Amphipholis","Ophiuroidea","Echinodermata","other","Amphipholis squamata",26,1828,"Amphipholis","Ophiuroidea","Echinodermata",1,1,4,1,5,"64","1",NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,4,253.870595,110.24051,175072323.7,100,"Amphipholis squamata","TRUE","TRUE","nuc&mito","Sympatric",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Seagrass, Coastal,Demersal or benthic",TRUE,10,10,"Rocky","Normal","Very low or null","Demersal or benthic",NA,"Amphipholis","Amphipholis","Sympatric",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Echinodermata_Ophiuroidea","Y","E","N","N",FALSE,TRUE
