"NameBeforeCor","acceptedName_wormsV1","genus_wormsV1","class_wormsV1","phylum_wormsV1","Timestamp","Article.ID.number","PremierNom","Article_authors","Article_year","Article_title","Article_journal","Article_vol","Article_start.Page","Article_end.Page","OLD_Nb_CScomplex_inArticle","OLD_nb_RemainingArticles","OLD_nb_RemovedArticles","Group_survey","MainDataType","GeneticMarker","Nb_CS","Morpho_diff","relativeDistribution","Eco_diff","Repro_diff","RIOK","Nig","Nsg","Nim","Nsm","Region","Comments","Larva","Habitat","adultDispersal","SpeciesName","acceptedName_wormsOLD","genus_wormsOLD","class_wormsOLD","phylum_wormsOLD","KeepFATE","acceptedName_worms","gs","yearb","genus_worms","class_worms","phylum_worms","Nb_CScomplex_inArticle","nb_RemainingArticles","nb_RemovedArticles","nb_art","nb_Articles_per_sp","orig_Nig","orig_Nsg","orig_Nim","orig_Nsm","Npol","Ntemp","Trop","Stemp","Spol","nb_zones","range_long_r100","range_lat_r100","CHull_r100","NbSitesUsed_r100","SimplifiedName","ncbi","mito","dna","Geo_diff","larv.pktro","larv.leci","larv.dd","larv.pel","larva","Hpelagic","Hcoastal","Hcoralreef","Hdeepsea","Hintertidal","Hseagrass","Hestuarine","Hcave","adultbenthic","adultpelagic","HabAdu","Demersal","HKKv2","HKKv3","Hsubstrate","HDifAccess","Dispers","DispAdult","noNeedTaxonSearch"
"Alpheus spp.",NA,"Alpheus","Malacostraca","Arthropoda",NA,NA,"Alpheus","Williams, ST; Knowlton, N; Weigt, LA; Jara, JA",2001,"Evidence for three major clades within the snapping shrimp genus Alpheus inferred from nuclear and mitochondrial gene sequence data","MOLECULAR PHYLOGENETICS AND EVOLUTION",20,"375","389",1,2,0,"Arthropoda","Genetic, Morphological, Ecological","mtDNA, other nuclear",7,"Statistic","Allopatric, Sympatric","No",NA,TRUE,"119","4","8","5","Pacific, Caribbean, Atlantic",NA,NA,"Coral reef, Soft sediment, Rocky shore, mangrove,echiuran burrows","Demersal or benthic, Coastal","Alpheus spp.",NA,NA,"Malacostraca","Arthropoda","keep",NA,NA,NA,"Alpheus","Malacostraca","Arthropoda",1,NA,NA,NA,NA,"119","4","8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef, Soft sediment, Rocky shore, mangrove,echiuran burrows,Demersal or benthic, Coastal",TRUE,"10","10","Sediment and Rocky","Normal",NA,"Demersal or benthic",NA
"Amblyosyllis spp.",NA,"Amblyosyllis","Polychaeta","Annelida","6/21/2023 7:53:04",50,"Amblyosyllis","Aguado, MT; Capa, M; Lago-Barcia, D; Gil, J; Pleijel, F; Nygren, A",2019,"Species delimitation in Amblyosyllis (Annelida, Syllidae)","PLOS ONE",14,NA,NA,NA,NA,0,"Annelida","Genetic, Morphological","mtDNA, other nuclear, the nuclear is 28S (D1)",NA,NA,"Allopatric, Sympatric",NA,NA,TRUE,"115",NA,"115",NA,"World","2 species have a wide geographic distribution.","Brooding, Not sure - need to look up elsewhere, For A. speciosa, dioecious and epigamous (reproductive individuals with posterior segments full of gametes and enlarged eyes), the fertilization is external, females brood egg masses (during at least five consecutive reproductive processes), and the juveniles develop without free-living larval previous stages. A. anae also lacks larval stage. Probably all of them.","Amblyosyllis species have been found in the intertidal and subtidal zones (0–200 m), on a large variety of substrates and in association with different organisms (rocky shores, coarse sand, algae, ascidians, bryozoans, sponges, mollusks, etc.). Very little is known about the diet of most syllids, but some members of Amblyosyllis have been observed feeding on sponges.",NA,"Amblyosyllis",NA,NA,NA,NA,"other",NA,NA,NA,"Amblyosyllis","Polychaeta","Annelida",1,NA,NA,NA,NA,"115",NA,"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"Amblyosyllis species have been found in the intertidal and subtidal zones (0–200 m), on a large variety of substrates and in association with different organisms (rocky shores, coarse sand, algae, ascidians, bryozoans, sponges, mollusks, etc.). Very little is known about the diet of most syllids, but some members of Amblyosyllis have been observed feeding on sponges.,NA",FALSE,"","","Rocky","Easy",NA,NA,NA
"Amphiglena spp.",NA,"Amphiglena","Polychaeta","Annelida","6/20/2023 5:58:13",25,"Amphiglena","Tilic, E; Feerst, K; Rouse, GW",2019,"Two new species of Amphiglena ( Sabellidae, Annelida ), with an assessment of hidden diversity in the Mediterranean","ZOOTAXA",4648,"337","353",NA,NA,0,"Annelida","Genetic, Morphological","mtDNA, other nuclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic, Mediterranean, Pacific","One of the 2 new species described had no diagnostic not even statistic apparently) morphological differences with an already existing species, but has been given a name given its high COI divergence. The other had diagnostic characters.","Pelagic","Coastal","Demersal or benthic","Amphiglena",NA,NA,NA,NA,"other",NA,NA,NA,"Amphiglena","Polychaeta","Annelida",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal,Demersal or benthic",TRUE,"25","25",NA,"Normal","Moderate to high","Demersal or benthic",NA
"Amphiprion spp.",NA,"Amphiprion","Actinopterygii","Chordata",NA,NA,"Amphiprion","Timm, Janne; Figiel, Malgorzata; Kochzius, Marc",2008,"Contrasting patterns in species boundaries and evolution of anemonefishes (Amphiprioninae, Pomacentridae) in the centre of marine biodiversity","MOLECULAR PHYLOGENETICS AND EVOLUTION",49,"268","276",1,1,0,"Fish","Genetic","mtDNA",3,NA,"Allopatric",NA,NA,NA,"52","9",NA,NA,"Indo-Pacific",NA,NA,"Coral reef","Demersal or benthic","Amphiprion spp.",NA,NA,"Actinopterygii","Chordata","other",NA,NA,NA,"Amphiprion","Actinopterygii","Chordata",1,NA,NA,NA,NA,"52","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,"10","10",NA,"Normal",NA,"Demersal or benthic",NA
"Aplus sp.",NA,"Aplus","Gastropoda","Mollusca","07/05/2023 21:19",96,"Aplus","Aissaoui, C; Puillandre, N; Bouchet, P; Fassio, G; Modica, MV; Oliverio, M",2016,"Cryptic diversity in Mediterranean gastropods of the genus Aplus (Neogastropoda: Buccinidae)","SCIENTIA MARINA",80,"521","533",NA,NA,0,"Mollusca","Genetic, Morphological","mtDNA",7,"Diagnostic","Allopatric, Sympatric",NA,NA,TRUE,"66","12","66","12","Mediterranean","4 recognized species now split into 7, but no connection between NS and the particular CS identified.","Lecithotrophic","Soft sediment, Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic","Aplus",NA,NA,NA,NA,"other",NA,NA,NA,"Aplus","Gastropoda","Mollusca",1,NA,NA,NA,NA,"66","12","66","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic",TRUE,"5","5","Sediment and Rocky","Easy",NA,"Demersal or benthic",NA
"Aurelia spp.",NA,"Aurelia","Scyphozoa","Cnidaria",NA,NA,"Aurelia","Dawson, MN; Sen Gupta, A; England, MH",2005,"Coupled biophysical global ocean model and molecular genetic analyses identify multiple introductions of cryptogenic species","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",102,"11968","11973",1,3,1,"Cnidaria","Genetic, Morphological, Ecological, Reproductive","mtDNA, other nuclear",13,"Statistic","Allopatric, Sympatric","Yes",NA,TRUE,"240","77","15","9","Global, Adriatic, Mediterranean",NA,"Pelagic, Demersal or benthic","Pelagic, Coastal also","Pelagic","Aurelia spp.",NA,NA,"Scyphozoa","Cnidaria","other",NA,NA,NA,"Aurelia","Scyphozoa","Cnidaria",1,NA,NA,NA,NA,"240","77","15","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic, Coastal also,Pelagic",FALSE,"1000","1000",NA,"Normal","High","Pelagic",NA
"Bathymodiolus spp.",NA,"Bathymodiolus","Bivalvia","Mollusca",NA,NA,"Bathymodiolus","Won, Y; Young, CR; Lutz, RA; Vrijenhoek, RC",2003,"Dispersal barriers and isolation among deep-sea mussel populations (Mytilidae : Bathymodiolus) from eastern Pacific hydrothermal vents","MOLECULAR ECOLOGY",12,"169","184",1,1,0,"Mollusca","Genetic","mtDNA, Allozymes",2,NA,"Allopatric, Parapatric",NA,NA,NA,"278","10",NA,NA,"Pacific",NA,"Planktotroph","Deep sea, hydrothermal vents","Demersal or benthic","Bathymodiolus spp.",NA,NA,"Bivalvia","Mollusca","other",NA,NA,NA,"Bathymodiolus","Bivalvia","Mollusca",1,NA,NA,NA,NA,"278","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric, Parapatric",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Deep sea, hydrothermal vents,Demersal or benthic",TRUE,"100","100",NA,"Difficult",NA,"Demersal or benthic",NA
"Bathytoma spp.",NA,"Bathytoma","Gastropoda","Mollusca",NA,NA,"Bathytoma","Puillandre, Nicolas; Sysoev, Alexander V.; Olivera, Baldomero M.; Couloux, Arnaud; Bouchet, Philippe",2010,"Loss of planktotrophy and speciation: geographical fragmentation in the deep-water gastropod genus Bathytoma (Gastropoda, Conoidea) in the western Pacific","SYSTEMATICS AND BIODIVERSITY",8,"371","394",1,1,0,"Mollusca","Genetic, Morphological","mtDNA, ITS",11,"Statistic","Allopatric","Yes",NA,TRUE,"138","23","101","23","Indo-Pacific",NA,"Direct development","unknown","Demersal or benthic","Bathytoma spp.",NA,NA,"Gastropoda","Mollusca","other",NA,NA,NA,"Bathytoma","Gastropoda","Mollusca",1,NA,NA,NA,NA,"138","23","101","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"unknown,Demersal or benthic",TRUE,"25","",NA,"Normal","Very low or null","Demersal or benthic",NA
"Bollmannia group sp.nov",NA,"Bollmannia","Actinopterygii","Chordata",NA,NA,"Bollmannia","Ruber, L; Van Tassell, JL; Zardoya, R",2003,"Rapid speciation and ecological divergence in the American seven-spined gobies (Gobiidae, Gobiosomatini) inferred from a molecular phylogeny","EVOLUTION",57,"1584","1598",4,1,0,"Fish","Genetic","mtDNA",2,NA,"Allopatric",NA,NA,NA,"1","1",NA,NA,NA,NA,"Unknown","Coral reef, Rocky shore, Coastal, Estuarine","Demersal or benthic, Coastal","Bollmannia group sp. Nov",NA,NA,"Actinopterygii","Chordata","other",NA,NA,NA,"Bollmannia","Actinopterygii","Chordata",3,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Coral reef, Rocky shore, Coastal, Estuarine,Demersal or benthic, Coastal",TRUE,"10","10","Rocky","Normal",NA,"Demersal or benthic",NA
"Bolma spp.",NA,"Bolma","Gastropoda","Mollusca","6/21/2023 11:24:33",57,"Bolma","Castelin, M; Williams, ST; Buge, B; Maestrati, P; Lambourdiere, J; Ozawa, T; Utge, J; Couloux, A; Alf, A; Samadi, S",2017,"Untangling species identity in gastropods with polymorphic shells in the genus Bolma Risso, 1826 (Mollusca, Vetigastropoda)","EUROPEAN JOURNAL OF TAXONOMY",288,"1","21",NA,NA,0,"Mollusca","Genetic","mtDNA, other nuclear, the nuclear marker is 28S",6,NA,"Allopatric, Sympatric, Not sure sympatry but clearly say that not so many restricted rnges as previously thought",NA,NA,TRUE,"196","20",NA,NA,"Pacific, Atlantic, Mediterranean, ...",NA,"Lecithotrophic","Deep sea","Demersal or benthic","Bolma",NA,NA,NA,NA,"other",NA,NA,NA,"Bolma","Gastropoda","Mollusca",1,NA,NA,NA,NA,"196","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Deep sea,Demersal or benthic",TRUE,"100","100",NA,"Difficult",NA,"Demersal or benthic",NA
"Bostrycapulus spp.",NA,"Bostrycapulus","Gastropoda","Mollusca",NA,NA,"Bostrycapulus","Collin, R",2005,"Development, phylogeny, and taxonomy of Bostrycapulus (Caenogastropoda : Calyptraeidae), an ancient cryptic radiation","ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY",144,"75","101",1,1,0,"Mollusca","Genetic, Morphological, Reproductive","mtDNA",8,"No differentiation","Allopatric",NA,NA,NA,"38","23","38","23","Global",NA,"Planktotroph, Direct development, Brooding","Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal","Bostrycapulus spp.",NA,NA,"Gastropoda","Mollusca","other",NA,NA,NA,"Bostrycapulus","Gastropoda","Mollusca",1,NA,NA,NA,NA,"38","23","38","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,"5","5","Rocky","Easy","Very low or null","Demersal or benthic",NA
