"","Taxonomic_Group","Name"
"247","Crustaceans-Crayfish","Pacifastacus leniusculus"
"249","Crustaceans-Crayfish","Procambarus zonangulus"
"251","Crustaceans-Isopods","Asellus hilgendorfii"
"252","Crustaceans-Isopods","Caecidotea racovitzai"
"253","Crustaceans-Isopods","Caecijaera horvathi"
"254","Crustaceans-Isopods","Dynoides dentisinus"
"257","Crustaceans-Isopods","Gnorimosphaeroma sp."
"258","Crustaceans-Isopods","Halophiloscia couchii"
"260","Crustaceans-Isopods","Iais floridana"
"262","Crustaceans-Isopods","Ligia exotica"
"263","Crustaceans-Isopods","Ligia oceanica"
"264","Crustaceans-Isopods","Limnoria pfefferi"
"267","Crustaceans-Isopods","Niambia capensis"
"272","Crustaceans-Isopods","Pseudosphaeroma sp. A"
"277","Crustaceans-Isopods","Uromunna sp. A"
"278","Crustaceans-Leptostacans","Nebalia sp  A."
"279","Crustaceans-Mysids","Deltamysis holmquistae"
"281","Crustaceans-Mysids","Hyperacanthomysis longirostris"
"282","Crustaceans-Mysids","Neomysis japonica"
"283","Crustaceans-Mysids","Orientomysis aspera"
"284","Crustaceans-Mysids","Orientomysis hwanhaiensis"
"286","Crustaceans-Ostracods","Aspidoconcha limnoriae"
"288","Crustaceans-Ostracods","Kotoracythere inconspicua"
"289","Crustaceans-Ostracods","Redekea californica"
"292","Crustaceans-Shrimp","Macrobrachium nipponense"
"296","Crustaceans-Shrimp","Palaemon kadiakensis"
"300","Crustaceans-Shrimp","Upogebia major"
"301","Crustaceans-Tanaids","Sinelobus cf. stanfordi"
"302","Ctenophores","Vallicula multiformis"
"303","Echinoderms","Ophiactis savignyi Lineage B"
"307","Entoprocts","Urnatella gracilis"
"310","Fishes","Ambloplites rupestris"
"312","Fishes","Ameiurus melas"
"313","Fishes","Ameiurus natalis"
"314","Fishes","Ameiurus nebulosus"
"315","Fishes","Amia calva"
"316","Fishes","Aplodinotus grunniens"
"320","Fishes","Channa argus"
"322","Fishes","Cichlasoma bimaculatum"
"323","Fishes","Clarias batrachus"
"324","Fishes","Ctenopharyngodon idella"
"325","Fishes","Cyprinella lutrensis"
"327","Fishes","Dorosoma cepedianum"
"329","Fishes","Esox lucius"
"330","Fishes","Etheostoma blennioides"
"331","Fishes","Etheostoma zonale"
"332","Fishes","Fundulus diaphanus"
"335","Fishes","Gila orcuttii"
"337","Fishes","Herichthys carpintis"
"338","Fishes","Herichthys cyanoguttatus"
"339","Fishes","Hoplosternum littorale"
"340","Fishes","Hypomesus nipponensis"
"342","Fishes","Hypophthalmichthys nobilis"
"344","Fishes","Ichthyomyzon unicuspis"
"345","Fishes","Ictalurus furcatus"
"346","Fishes","Ictalurus punctatus"
"347","Fishes","Labidesthes sicculus"
"348","Fishes","Lepomis cyanellus"
"350","Fishes","Lepomis gulosus"
"351","Fishes","Lepomis macrochirus"
"352","Fishes","Lepomis megalotis"
"353","Fishes","Lepomis microlophus"
"354","Fishes","Lucania goodei"
"355","Fishes","Lucania parva"
"356","Fishes","Macrognathus siamensis"
"358","Fishes","Menidia audens"
"359","Fishes","Micropterus coosae"
"360","Fishes","Micropterus dolomieu"
"361","Fishes","Micropterus punctulatus"
"362","Fishes","Micropterus salmoides"
"363","Fishes","Misgurnus anguillicaudatus"
"364","Fishes","Monopterus albus"
"365","Fishes","Monopterus cuchia"
"366","Fishes","Morone chrysops"
"368","Fishes","Moxostoma macrolepidotum"
"369","Fishes","Mylopharyngodon piceus"
"373","Fishes","Notropis atherinoides"
"382","Fishes","Pelmatotilapia mariae"
"383","Fishes","Perca flavescens"
"384","Fishes","Percina macrolepida"
"385","Fishes","Percina peltata"
"386","Fishes","Pimephales promelas"
"388","Fishes","Poecilia reticulata"
"389","Fishes","Pomoxis annularis"
"390","Fishes","Pomoxis nigromaculatus"
"391","Fishes","Protemblemaria punctata"
"392","Fishes","Proterorhinus semilunaris"
"395","Fishes","Pterygoplichthys anisitsi"
"396","Fishes","Pterygoplichthys disjunctivus"
"397","Fishes","Pterygoplichthys multiradiatus"
"398","Fishes","Ptychocheilus grandis"
"399","Fishes","Pylodictis olivaris"
"400","Fishes","Rhinogobius brunneus species complex"
"402","Fishes","Sander vitreus"
"404","Fishes","Scardinius erythrophthalmus"
"405","Fishes","Tinca tinca"
"409","Fishes","Umbra limi"
"410","Mollusks-Bivalves","Anomia nobilis"
"413","Mollusks-Bivalves","Chama fibula"
"415","Mollusks-Bivalves","Corbicula fluminea"
"417","Mollusks-Bivalves","Cyrenoida floridana"
"418","Mollusks-Bivalves","Dreissena  bugensis"
"423","Mollusks-Bivalves","Ischadium recurvum"
"424","Mollusks-Bivalves","Laternula gracilis"
"425","Mollusks-Bivalves","Limecola petalum"
"428","Mollusks-Bivalves","Magallana ariakensis"
"435","Mollusks-Bivalves","Neotrapezium liratum"
"440","Mollusks-Bivalves","Pisidium amnicum"
"444","Mollusks-Bivalves","Saccostrea cucullata complex"
"445","Mollusks-Bivalves","Sphaerium corneum"
"450","Mollusks-Gastropods","Assiminea parasitologica"
"452","Mollusks-Gastropods","Bithynia tentaculata"
"454","Mollusks-Gastropods","Bostrycapulus calyptraeformis"
"456","Mollusks-Gastropods","Catriona rickettsi"
"457","Mollusks-Gastropods","Cecina manchurica"
"458","Mollusks-Gastropods","Cipangopaludina chinensis"
"464","Mollusks-Gastropods","Dendronotus orientalis"
"465","Mollusks-Gastropods","Duvaucelia plebeia"
"466","Mollusks-Gastropods","Elimia livescens"
"469","Mollusks-Gastropods","Heterogen japonica"
"472","Mollusks-Gastropods","Littoridinops monroensis"
"475","Mollusks-Gastropods","Marisa cornuarietis"
"476","Mollusks-Gastropods","Melanochlamys ezoensis"
"477","Mollusks-Gastropods","Melanoides tuberculata"
"478","Mollusks-Gastropods","Melanoides turricula"
"481","Mollusks-Gastropods","Nassarius fraterculus"
"483","Mollusks-Gastropods","Okenia plana"
"486","Mollusks-Gastropods","Pleurocera canaliculata"
"487","Mollusks-Gastropods","Pomacea canaliculata"
"488","Mollusks-Gastropods","Pomacea maculata"
"490","Mollusks-Gastropods","Pyrgophorus parvulus"
"494","Mollusks-Gastropods","Stramonita canaliculata"
"495","Mollusks-Gastropods","Tarebia granifera"
"498","Mollusks-Gastropods","Thylacodes vandyensis"
"500","Mollusks-Gastropods","Valvata piscinalis"
"501","Mollusks-Gastropods","Viviparus georgianus"
"502","Mollusks-Nudibranchs","Doris pseudoargus"
"504","Nematodes","Capillaria catenata"
"505","Nematodes","Hysterothylacium brachyurum"
"506","Nematodes","Philometroides sanguineus"
"507","Nemerteans","Cephalothrix cf. simula"
"508","Nemerteans","Emplectonema 'gracile'"
"509","Platyhelminthes","Alloglossidium corti"
"510","Platyhelminthes","Atractolytocestus huronensis"
"512","Platyhelminthes","Bothriocephalus cuspidatus"
"513","Platyhelminthes","Cercaria batillariae"
"514","Platyhelminthes","Convoluta convoluta"
"515","Platyhelminthes","Corallobothrium fimbriatum"
"516","Platyhelminthes","Cryptocotyle lingua"
"517","Platyhelminthes","Cyathocotyle bushiensis"
"518","Platyhelminthes","Dactylogyrus extensus"
"519","Platyhelminthes","Gigantobilharzia sp."
"520","Platyhelminthes","Gyrodactylus anguillae"
"522","Platyhelminthes","Khawia japonensis"
"525","Platyhelminthes","Ligictaluridus pricei"
"526","Platyhelminthes","Maritrema arenaria"
"527","Platyhelminthes","Megathylacoides giganteum"
"528","Platyhelminthes","Microphallus similis"
"529","Platyhelminthes","Pisciamphistoma stunkardi"
"532","Platyhelminthes","Rhabdocoela sp."
"533","Platyhelminthes","Sphaeridiotrema pseudoglobulus"
"535","Platyhelminthes","Taenioplana teredini"
"538","Sponges","Clathria prolifera"
"539","Sponges","Cliona sp."
"540","Sponges","Halichondria bowerbanki"
"542","Sponges","Lissodendoryx tylostyla"
"543","Sponges","Prosuberites sp."
"546","Tunicates","Ascidia cf. virginea"
"562","Tunicates","Diplosoma aff. spongiforme"
