Species	Phylum	IsInSurvey	year
Heteropolypus_ritteri	Cnidaria	No	NA
Orectolobus_maculatus	Chordata	No	NA
Trisopterus_luscus	Chordata	No	NA
Hemitripterus_americanus	Chordata	No	NA
Genypterus_blacodes	Chordata	No	NA
Arctocephalus_gazella	Chordata	No	NA
Peprilus_triacanthus	Chordata	No	NA
Clausocalanus_arcuicornis	Arthropoda	No	NA
Melanitta_fusca	Chordata	No	NA
Coryphopterus_personatus	Chordata	No	NA
Canthidermis_maculata	Chordata	No	NA
Acanthurus_chirurgus	Chordata	No	NA
Cottus_cognatus	Chordata	No	NA
Haemulon_sciurus	Chordata	No	NA
Squalus_megalops	Chordata	No	NA
Nephrops_Norvegicus	Arthropoda	No	NA
Ophiura_albida	EchiNodermata	No	1839
Lophius_piscatorius	Chordata	No	1758
Terebellides_stroemii	Annelida	Yes	1835
Nucella_lapillus	Mollusca	No	NA
NanNocalanus_miNor	Arthropoda	Yes	NA
Petrus_rupestris	Chordata	No	NA
Anguilla_anguilla	Chordata	No	NA
Scophthalmus_aquosus	Chordata	No	NA
Lophius_americanus	Chordata	No	NA
Puffinus_tenuirostris	Chordata	No	NA
Helicolenus_dactylopterus	Chordata	No	1809
Corophium_volutator	Arthropoda	No	NA
Macruronus_Novaezelandiae	Chordata	No	NA
Galeocerdo_cuvier	Chordata	No	NA
Gadus_macrocephalus	Chordata	No	NA
Spondyliosoma_emarginatum	Chordata	No	NA
Penaeus_duorarum	Arthropoda	No	1939
Zeus_faber	Chordata	No	1758
Lutjanus_bohar	Chordata	No	NA
SciaeNops_ocellatus	Chordata	No	NA
Lutjanus_griseus	Chordata	No	NA
Chrysoblephus_gibbiceps	Chordata	No	NA
CyNoscion_nebulosus	Chordata	No	NA
Echiichthys_vipera	Chordata	No	NA
Chrysoblephus_cristiceps	Chordata	No	NA
CalaNoides_carinatus	Arthropoda	No	NA
Sillago_ciliata	Chordata	No	NA
BalaeNoptera_acutorostrata	Chordata	No	1804
Lucania_parva	Chordata	No	NA
Carcharhinus_plumbeus	Chordata	No	NA
Genypterus_capensis	Chordata	No	NA
Halichoerus_grypus	Chordata	No	NA
Caranx_ruber	Chordata	No	NA
Atheresthes_stomias	Chordata	No	NA
Paracirrhites_arcatus	Chordata	No	NA
Fabulina_fabula	Mollusca	No	NA
LachNolaimus_maximus	Chordata	No	NA
Asterias_rubens	EchiNodermata	No	1758
Phalacrocorax_carbo	Chordata	No	NA
Lethrinus_nebulosus	Chordata	No	NA
Cyclopterus_lumpus	Chordata	No	1758
ApteNodytes_forsteri	Chordata	No	NA
Bucephala_clangula	Chordata	No	NA
Malacoraja_senta	Chordata	No	NA
Haemulon_aurolineatum	Chordata	No	NA
Scalibregma_inflatum	Annelida	Yes	1843
Notomastus_latericeus	Annelida	No	1851
Pholoe_iNornata	Annelida	No	1839
Lanice_conchilega	Annelida	No	NA
Pogonias_cromis	Chordata	No	NA
Capitella_capitata	Annelida	Yes	NA
Zoarces_viviparus	Chordata	No	NA
Eteone_longa	Annelida	Yes	NA
Montipora_capitata	Cnidaria	No	1846
Callionymus_maculatus	Chordata	No	1810
Chromis_scotti	Chordata	No	NA
Tubificoides_benedii	Annelida	No	NA
Bairdiella_chrysoura	Chordata	No	NA
Mola_mola	Chordata	No	NA
Phalacrocorax_melaNoleucos	Chordata	No	NA
Leucoraja_ocellata	Chordata	No	NA
Carcharhinus_albimarginatus	Chordata	No	NA
Arctica_islandica	Mollusca	No	NA
Larus_dominicanus	Chordata	No	NA
Oncorhynchus_tshawytscha	Chordata	No	NA
Nephtys_cirrosa	Annelida	No	NA
Galathowenia_oculata	Annelida	No	NA
Amphiura_filiformis	EchiNodermata	No	NA
Doryteuthis_(Amerigo)_pealeii	Mollusca	No	NA
Stegastes_fasciolatus	Chordata	No	NA
Parupeneus_multifasciatus	Chordata	No	NA
Owenia_fusiformis	Annelida	Yes	1841
Phalacrocorax_aristotelis	Chordata	No	NA
Microchirus_variegatus	Chordata	No	NA
Polysteganus_praeorbitalis	Chordata	No	NA
Chaetodon_capistratus	Chordata	No	1758
Loligo_forbesii	Mollusca	No	NA
Gomphosus_varius	Chordata	No	NA
Sparisoma_atomarium	Chordata	No	NA
Nezumia_bairdii	Chordata	No	NA
Acartia_(Acanthacartia)_bifilosa	Arthropoda	No	NA
Rhincalanus_gigas	Arthropoda	No	NA
Stercorarius_skua	Chordata	No	NA
Scophthalmus_maximus	Chordata	No	NA
Abudefduf_saxatilis	Chordata	No	NA
Calonectris_diomedea	Chordata	No	NA
Argyrosomus_thorpei	Chordata	No	NA
Microsetella_rosea	Arthropoda	No	NA
Calamus_calamus	Chordata	No	NA
Daption_capense	Chordata	No	NA
Platycephalus_bassensis	Chordata	No	NA
Goniada_maculata	Annelida	No	1843
Lycodes_reticulatus	Chordata	No	NA
Procellaria_aequiNoctialis	Chordata	No	1758
Phalaropus_fulicarius	Chordata	No	NA
EchiNocardium_cordatum	EchiNodermata	Yes	NA
Alosa_fallax	Chordata	No	NA
Diastylis_rathkei	Arthropoda	No	NA
Chromis_cyanea	Chordata	No	NA
Desmophyllum_pertusum	Cnidaria	No	1758
Raja_clavata	Chordata	Yes	1758
Thalassoma_quinquevittatum	Chordata	No	NA
Pomacanthus_arcuatus	Chordata	No	NA
Pungitius_pungitius	Chordata	No	NA
Chelidonichthys_lucerna	Chordata	No	NA
Liocarcinus_holsatus	Arthropoda	No	NA
Mediomastus_fragilis	Annelida	No	1973
Evadne_Nordmanni	Arthropoda	No	NA
Lepidorhynchus_denticulatus	Chordata	No	NA
Zoarces_americanus	Chordata	No	NA
Pandalus_borealis	Arthropoda	No	1838
Parasagitta_elegans	Chaetognatha	No	NA
ThysaNoessa_macrura	Arthropoda	No	1883
Pocillopora_meandrina	Cnidaria	No	1846
Macrourus_berglax	Chordata	No	NA
Neocalanus_plumchrus	Arthropoda	No	NA
Lates_calcarifer	Chordata	No	NA
Hippoglossus_steNolepis	Chordata	No	NA
Chlorurus_spilurus	Chordata	No	NA
Anisotremus_virginicus	Chordata	No	NA
Scomberomorus_commerson	Chordata	Yes	NA
Anchoa_hepsetus	Chordata	No	NA
Chaetozone_setosa	Annelida	No	1867
Sphyraena_barracuda	Chordata	No	NA
Stenella_coeruleoalba	Chordata	No	NA
Citharichthys_spilopterus	Chordata	No	NA
Sebastes_mentella	Chordata	Yes	NA
Lumpenus_lampretaeformis	Chordata	No	1792
Argentina_silus	Chordata	No	NA
Hydrobates_pelagicus	Chordata	No	NA
Canthigaster_rostrata	Chordata	No	NA
Kyphosus_vaigiensis	Chordata	No	NA
Calanus_agulhensis	Arthropoda	No	1991
Eubalaena_australis	Chordata	No	1822
Eschrichtius_robustus	Chordata	No	1861
Anas_platyrhynchos	Chordata	No	1758
Ophiura_ophiura	EchiNodermata	No	NA
Chloroscombrus_chrysurus	Chordata	No	NA
Thyasira_flexuosa	Mollusca	No	NA
Pholoe_baltica	Annelida	No	1843
Paralichthys_dentatus	Chordata	No	NA
Plectroglyphidodon_johnstonianus	Chordata	No	NA
Amphibalanus_improvisus	Arthropoda	No	NA
BalaeNoptera_musculus	Chordata	No	NA
Hilbigneris_gracilis	Annelida	No	NA
Aspidophoroides_moNopterygius	Chordata	No	NA
Ciliata_mustela	Chordata	No	NA
Hippoglossina_oblonga	Chordata	No	NA
Crangon_crangon	Arthropoda	No	NA
Glyptocephalus_zachirus	Chordata	No	NA
Symphurus_plagiusa	Chordata	No	NA
Eukrohnia_hamata	Chaetognatha	Yes	NA
Scolecithricella_miNor	Arthropoda	No	NA
Lobotes_surinamensis	Chordata	No	NA
Pseudupeneus_maculatus	Chordata	No	NA
Stegastes_planifrons	Chordata	No	NA
Dermochelys_coriacea	Chordata	No	NA
Etropus_crossotus	Chordata	No	NA
Spisula_subtruncata	Mollusca	No	NA
Cepphus_grylle	Chordata	No	NA
Cerastoderma_edule	Mollusca	No	NA
Lycodes_vahlii	Chordata	No	NA
Phaxas_pellucidus	Mollusca	No	NA
Pachymetopon_aeneum	Chordata	No	NA
Glycera_lapidum	Annelida	No	1866
Platycephalus_fuscus	Chordata	No	NA
Heterodontus_portusjacksoni	Chordata	No	NA
Hyperoplus_lanceolatus	Chordata	No	NA
Hypoplectrus_unicolor	Chordata	No	NA
Cancer_pagurus	Arthropoda	No	1758
Metridia_pacifica	Arthropoda	No	NA
Paracalanus_aculeatus	Arthropoda	No	NA
Buccinum_undatum	Mollusca	Yes	1758
Capros_aper	Chordata	No	NA
Trachurus_capensis	Chordata	No	1861
Leptagonus_decagonus	Chordata	No	NA
Leucoraja_erinacea	Chordata	No	NA
Scarus_taeniopterus	Chordata	No	NA
Gadiculus_argenteus	Chordata	No	NA
Mesocalanus_tenuicornis	Arthropoda	Yes	NA
Ptychoramphus_aleuticus	Chordata	No	NA
Cephalopholis_cruentata	Chordata	No	NA
Thor_floridanus	Arthropoda	No	1878
Chromis_margaritifer	Chordata	No	NA
Dorosoma_cepedianum	Chordata	No	NA
Chlorurus_sordidus	Chordata	No	NA
Bylgides_sarsi	Annelida	No	NA
Aonides_paucibranchiata	Annelida	No	1914
Triconia_borealis	Arthropoda	No	1918
Cephalopholis_argus	Chordata	No	NA
Paralichthys_lethostigma	Chordata	No	NA
Ammodytes_dubius	Chordata	No	NA
Bosmina_(Eubosmina)_coregoni	Arthropoda	No	NA
Arripis_trutta	Chordata	No	NA
Cephalopholis_urodeta	Chordata	No	NA
Belone_belone	Chordata	No	NA
Chelidonichthys_capensis	Chordata	No	NA
Thalassoica_antarctica	Chordata	No	NA
Chromis_vanderbilti	Chordata	No	NA
Merluccius_hubbsi	Chordata	No	NA
EchiNocyamus_pusillus	EchiNodermata	No	NA
Chaetodon_ocellatus	Chordata	No	NA
Amphipholis_squamata	EchiNodermata	Yes	NA
Cerastoderma_glaucum	Mollusca	No	NA
Cymatoceps_nasutus	Chordata	No	NA
Polydora_cornuta	Annelida	Yes	1802
Lucicutia_flavicornis	Arthropoda	No	NA
Urophycis_regia	Chordata	No	NA
Aglantha_digitale	Cnidaria	No	NA
Pseudophycis_bachus	Chordata	No	NA
Scarus_rivulatus	Chordata	No	NA
MecyNocera_clausi	Arthropoda	No	1888
Arctocephalus_pusillus	Chordata	No	NA
Porites_astreoides	Cnidaria	No	1816
Melanitta_nigra	Chordata	No	NA
Nelusetta_ayraud	Chordata	No	NA
Pagurus_bernhardus	Arthropoda	No	NA
Phoronis_muelleri	Phoronida	No	1903
Leucoraja_naevus	Chordata	No	NA
Trichiurus_lepturus	Chordata	No	1758
Pleuromamma_borealis	Arthropoda	No	NA
Nucula_nitidosa	Mollusca	No	1930
Saduria_entomon	Arthropoda	No	NA
Aechmophorus_occidentalis	Chordata	No	NA
Triglops_murrayi	Chordata	No	1888
Nototodarus_sloanii	Mollusca	No	NA
Larus_Novaehollandiae	Chordata	No	NA
Aphelochaeta_marioni	Annelida	No	NA
Myxine_glutiNosa	Chordata	No	1758
Pomacentrus_vaiuli	Chordata	No	NA
Pleoticus_muelleri	Arthropoda	No	NA
Spio_filicornis	Annelida	No	NA
Larus_atricilla	Chordata	No	1758
PrioNospio_fallax	Annelida	No	1920
Callinectes_similis	Arthropoda	No	1966
ChioNoecetes_bairdi	Arthropoda	No	1924
Halichoeres_ornatissimus	Chordata	No	NA
Oithona_nana	Arthropoda	No	1893
Illex_illecebrosus	Mollusca	No	1821
Phyllodoce_mucosa	Annelida	No	1843
Bagre_marinus	Chordata	No	NA
Centropyge_flavissima	Chordata	No	NA
EuciNostomus_argenteus	Chordata	No	NA
Melichthys_vidua	Chordata	No	NA
Calanus_euxinus	Arthropoda	No	1991
Placopecten_magellanicus	Mollusca	No	NA
Alitta_succinea	Annelida	No	NA
Candacia_armata	Arthropoda	No	1872
Farrea_occa	Porifera	No	1862
Pomatoschistus_minutus	Chordata	No	NA
Kyphosus_sectatrix	Chordata	No	NA
Sterna_paradisaea	Chordata	No	1763
Porites_compressa	Cnidaria	No	1846
Abra_nitida	Mollusca	No	NA
Leptoclinus_maculatus	Chordata	No	NA
Hippoglossus_hippoglossus	Chordata	No	NA
Dipolydora_coeca	Annelida	No	NA
Lutjanus_apodus	Chordata	No	NA
CypriNodon_variegatus	Chordata	No	NA
Euspira_nitida	Mollusca	No	NA
Calocalanus_pavo	Arthropoda	No	NA
Ampelisca_brevicornis	Arthropoda	No	NA
Microsetella_Norvegica	Arthropoda	No	NA
RhiNoptera_bonasus	Chordata	No	NA
PrioNotus_carolinus	Chordata	No	NA
Diplocirrus_glaucus	Annelida	No	NA
Haematopus_ostralegus	Chordata	No	1758
Panulirus_penicillatus	Arthropoda	No	NA
Euterpina_acutifrons	Arthropoda	Yes	NA
Chelidonichthys_kumu	Chordata	No	NA
Levinsenia_gracilis	Annelida	No	NA
Egretta_Novaehollandiae	Chordata	No	NA
Gasterosteus_aculeatus	Chordata	No	1758
Phoebastria_nigripes	Chordata	No	NA
Chromis_multilineata	Chordata	No	NA
SteNotomus_chrysops	Chordata	No	NA
Plectroglyphidodon_dickii	Chordata	No	NA
Larus_californicus	Chordata	No	NA
Lithodes_santolla	Arthropoda	No	NA
Calanus_pacificus	Arthropoda	No	NA
Halichoeres_hortulanus	Chordata	No	NA
BalaeNoptera_borealis	Chordata	No	1828
SyNodus_foetens	Chordata	No	NA
Neocalanus_cristatus	Arthropoda	No	NA
Phalacrocorax_urile	Chordata	No	NA
Raja_montagui	Chordata	No	1910
Microspathodon_chrysurus	Chordata	No	NA
Engraulis_encrasicolus	Chordata	Yes	NA
Centropristis_striata	Chordata	No	NA
Haliotis_rubra	Mollusca	No	NA
Lepidochelys_olivacea	Chordata	No	NA
Balaena_mysticetus	Chordata	No	1758
Phalacrocorax_auritus	Chordata	No	NA
Merluccius_capensis	Chordata	No	1861
Fulmarus_glacialoides	Chordata	No	NA
Centroberyx_affinis	Chordata	No	NA
Scrobicularia_plana	Mollusca	No	NA
Citharichthys_arctifrons	Chordata	No	NA
Oithona_atlantica	Arthropoda	No	NA
Isostichopus_fuscus	EchiNodermata	No	NA
Glycera_alba	Annelida	No	NA
Sardina_pilchardus	Chordata	No	NA
Scarus_rubroviolaceus	Chordata	No	NA
MoNotaxis_grandoculis	Chordata	No	NA
Chelon_labrosus	Chordata	No	NA
Meganyctiphanes_Norvegica	Arthropoda	No	NA
Clausocalanus_furcatus	Arthropoda	No	NA
Nautilus_pompilius	Mollusca	No	1758
Bodianus_rufus	Chordata	No	NA
Labroides_dimidiatus	Chordata	No	NA
Microcalanus_pygmaeus	Arthropoda	No	1900
Macronectes_giganteus	Chordata	No	NA
Phoebetria_palpebrata	Chordata	No	NA
Sebastes_fasciatus	Chordata	No	NA
Neocalanus_gracilis	Arthropoda	No	NA
Poecilochaetus_serpens	Annelida	No	1904
Bathyporeia_elegans	Arthropoda	No	1938
Gastrosaccus_spinifer	Arthropoda	No	NA
Anguilla_rostrata	Chordata	No	NA
Halicryptus_spinulosus	Priapulida	No	1849
Menticirrhus_americanus	Chordata	No	NA
Brosme_brosme	Chordata	No	NA
Caranx_crysos	Chordata	No	NA
Cancer_plebejus	Arthropoda	No	1836
Holacanthus_bermudensis	Chordata	No	NA
Lutjanus_argentimaculatus	Chordata	No	NA
Arenicola_marina	Annelida	No	NA
Decapterus_macarellus	Chordata	No	NA
Phycis_chesteri	Chordata	No	NA
Spiophanes_kroyeri	Annelida	No	1860
Pterygotrigla_polyommata	Chordata	No	NA
Trachurus_declivis	Chordata	No	NA
Larus_ridibundus	Chordata	No	1767
Coregonus_clupeaformis	Chordata	No	NA
Menidia_beryllina	Chordata	No	NA
Zanclus_cornutus	Chordata	No	NA
Thunnus_thynnus	Chordata	No	NA
Balistapus_undulatus	Chordata	No	NA
Archosargus_probatocephalus	Chordata	No	NA
Cepphus_columba	Chordata	No	NA
Stegastes_leucostictus	Chordata	No	NA
Chlorurus_microrhiNos	Chordata	No	NA
Schistomysis_spiritus	Arthropoda	No	NA
Microstomus_pacificus	Chordata	No	NA
Kathetostoma_giganteum	Chordata	No	NA
Clepticus_parrae	Chordata	No	NA
Isurus_oxyrinchus	Chordata	No	1810
Mora_moro	Chordata	No	NA
Nephtys_caeca	Annelida	No	NA
Holacanthus_tricolor	Chordata	No	NA
Todaropsis_eblanae	Mollusca	No	NA
Magelona_mirabilis	Annelida	No	NA
Serranus_tigrinus	Chordata	No	NA
Anarhichas_denticulatus	Chordata	No	NA
Scophthalmus_rhombus	Chordata	No	NA
Pusa_hispida	Chordata	No	NA
Larus_hyperboreus	Chordata	No	1767
Tritia_reticulata	Mollusca	No	NA
Scarus_psittacus	Chordata	No	NA
Mustelus_antarcticus	Chordata	No	NA
Chlorurus_perspicillatus	Chordata	No	NA
Thunnus_orientalis	Chordata	No	NA
Globicephala_melas	Chordata	No	NA
CalaNoides_acutus	Arthropoda	No	NA
Rhincodon_typus	Chordata	No	NA
Pisidia_longicornis	Arthropoda	No	NA
Deania_calcea	Chordata	No	NA
Plectroglyphidodon_lacrymatus	Chordata	No	NA
Eucalanus_bungii	Arthropoda	No	NA
Lepidopus_caudatus	Chordata	No	NA
Acrocalanus_gibber	Arthropoda	No	NA
Fundulus_similis	Chordata	No	NA
Cyttus_traversi	Chordata	No	NA
Caulleriella_alata	Annelida	No	NA
Hippolyte_zostericola	Arthropoda	No	NA
Elacatinus_oceaNops	Chordata	No	NA
Siderastrea_siderea	Cnidaria	No	1786
Etmopterus_baxteri	Chordata	No	NA
Molva_molva	Chordata	No	NA
Sphoeroides_parvus	Chordata	No	NA
Orthopristis_chrysoptera	Chordata	No	NA
Lethrinus_miniatus	Chordata	No	NA
Eumida_sanguinea	Annelida	Yes	NA
Ammodytes_hexapterus	Chordata	No	NA
Aldrichetta_forsteri	Chordata	No	NA
Marenzelleria_viridis	Annelida	Yes	NA
Coelorinchus_fasciatus	Chordata	No	NA
Sparisoma_rubripinne	Chordata	No	NA
Clione_limacina	Mollusca	No	NA
Parasagitta_setosa	Chaetognatha	Yes	NA
Ardea_herodias	Chordata	No	NA
Spirobranchus_triqueter	Annelida	No	NA
Pelecanus_conspicillatus	Chordata	No	NA
Sterna_sandvicensis	Chordata	No	1787
Halargyreus_johnsonii	Chordata	No	NA
DrepaNopus_pectinatus	Arthropoda	No	NA
Flaccisagitta_enflata	Chaetognatha	No	NA
Euchaeta_marina	Arthropoda	No	1833
Thunnus_atlanticus	Chordata	No	NA
Electra_pilosa	Bryozoa	Yes	NA
Anas_americana	Chordata	No	NA
Ennucula_tenuis	Mollusca	No	NA
Fritillaria_borealis	Chordata	No	NA
Eumicrotremus_spiNosus	Chordata	No	NA
Merluccius_australis	Chordata	No	NA
Paradoneis_lyra	Annelida	No	NA
Cancer_borealis	Arthropoda	No	NA
Orbicella_annularis	Cnidaria	Yes	1786
Opistognathus_aurifrons	Chordata	No	NA
